,inner_loss,inner_loss_b,inner_loss_f
309,[0.00735093 0.0072117  0.00708044 0.00695646 0.00683911 0.00672782],"[5.24126768e-05 5.03311394e-05 4.84936810e-05 4.68714921e-05
 4.54393195e-05 4.41737869e-05]",[0.0068268  0.00670839 0.00659551 0.00648774 0.00638472 0.00628609]
310,[0.00957128 0.00942901 0.00929347 0.0091641  0.00904041 0.00892195],"[3.45965243e-05 3.31779648e-05 3.19672538e-05 3.09394946e-05
 3.00723841e-05 2.93464041e-05]",[0.00922532 0.00909723 0.0089738  0.00885471 0.00873969 0.00862849]
311,[0.01070377 0.01050997 0.01032688 0.01015363 0.0099894  0.0098335 ],"[8.97610807e-05 8.40147592e-05 7.88227066e-05 7.41324143e-05
 6.98956008e-05 6.60699791e-05]",[0.00980616 0.00966983 0.00953866 0.0094123  0.00929045 0.0091728 ]
312,[0.0132575  0.01308277 0.0129147  0.01275286 0.01259684 0.01244625],"[8.74919496e-05 8.26095007e-05 7.81208904e-05 7.39954461e-05
 7.02033058e-05 6.67178240e-05]",[0.01238259 0.01225667 0.01213349 0.01201291 0.0118948  0.01177907]
313,[0.00747351 0.00738117 0.00729246 0.00720715 0.00712501 0.00704583],"[4.94051665e-05 4.63611262e-05 4.35727093e-05 4.10199586e-05
 3.86832046e-05 3.65450942e-05]",[0.00697946 0.00691756 0.00685673 0.00679695 0.00673817 0.00668038]
314,[0.00668584 0.00656622 0.00645297 0.00634561 0.00624368 0.00614677],"[6.24715969e-05 5.87756433e-05 5.54252193e-05 5.23892550e-05
 4.96385006e-05 4.71475361e-05]",[0.00606112 0.00597846 0.00589872 0.00582172 0.00574729 0.00567529]
315,[0.0109179  0.0106535  0.01040721 0.01017724 0.00996198 0.00976005],"[5.39964987e-05 5.14813280e-05 4.94784821e-05 4.79166634e-05
 4.67334120e-05 4.58742076e-05]",[0.01037793 0.01013869 0.00991243 0.00969807 0.00949465 0.00930131]
316,[0.0106422  0.01046685 0.01030007 0.01014115 0.00998949 0.00984449],"[6.85949588e-05 6.43534375e-05 6.05182052e-05 5.70492433e-05
 5.39118584e-05 5.10730259e-05]",[0.00995625 0.00982332 0.00969488 0.00957066 0.00945037 0.00933376]
317,[0.01041094 0.01029182 0.01017689 0.01006591 0.00995864 0.00985485],"[6.77392712e-05 6.34138982e-05 5.94076961e-05 5.56975480e-05
 5.22622031e-05 4.90822601e-05]",[0.00973355 0.00965768 0.00958281 0.00950893 0.00943601 0.00936403]
318,[0.00814641 0.00804911 0.00795507 0.00786411 0.00777603 0.0076907 ],"[4.07532638e-05 3.83581214e-05 3.61530245e-05 3.41236450e-05
 3.22568006e-05 3.05399768e-05]",[0.00773888 0.00766553 0.00759354 0.00752287 0.00745347 0.0073853 ]
319,[0.00798243 0.00784518 0.00771395 0.00758834 0.00746798 0.00735254],"[7.64653347e-05 7.13072834e-05 6.65744076e-05 6.22325157e-05
 5.82507413e-05 5.46000708e-05]",[0.00721777 0.00713211 0.0070482  0.00696602 0.00688548 0.00680654]
320,[0.01024859 0.00998838 0.00974541 0.00951812 0.00930513 0.00910519],"[7.86419395e-05 7.34354881e-05 6.89173401e-05 6.50092272e-05
 6.16420157e-05 5.87530036e-05]",[0.00946217 0.00925403 0.00905623 0.00886803 0.00868871 0.00851766]
321,[0.00702225 0.0069177  0.00681719 0.00672045 0.00662726 0.00653739],"[4.54392735e-05 4.32940336e-05 4.13273060e-05 3.95248300e-05
 3.78733932e-05 3.63605709e-05]",[0.00656785 0.00648476 0.00640392 0.0063252  0.00624853 0.00617379]
322,[0.00400381 0.00392481 0.00384987 0.00377867 0.00371094 0.00364644],"[5.24925278e-05 4.89494712e-05 4.56925698e-05 4.26975258e-05
 3.99432128e-05 3.74098286e-05]",[0.00347888 0.00343532 0.00339295 0.0033517  0.00331151 0.00327234]
323,[0.01590075 0.01558668 0.01529242 0.01501611 0.01475605 0.01451078],"[4.71390103e-05 4.50741694e-05 4.35485526e-05 4.24858491e-05
 4.18186599e-05 4.14885919e-05]",[0.01542936 0.01513594 0.01485694 0.01459125 0.01433786 0.01409589]
324,[0.01052072 0.01040689 0.01029662 0.01018969 0.01008587 0.00998499],"[5.02554663e-05 4.66864741e-05 4.33974588e-05 4.03670166e-05
 3.75750036e-05 3.50039267e-05]",[0.01001817 0.00994003 0.00986265 0.00978602 0.00971012 0.00963495]
325,[0.014541   0.014346   0.01415825 0.0139772  0.0138024  0.01363341],"[3.72090611e-05 3.54592174e-05 3.39505742e-05 3.26575036e-05
 3.15563172e-05 3.06258741e-05]",[0.01416891 0.01399141 0.01381874 0.01365063 0.01348684 0.01332715]
326,[0.00969924 0.00955451 0.00941555 0.00928198 0.00915341 0.0090295 ],"[3.89495658e-05 3.69173379e-05 3.51116485e-05 3.35109167e-05
 3.20945471e-05 3.08448949e-05]",[0.00930974 0.00918533 0.00906444 0.00894687 0.00883246 0.00872105]
327,[0.00475645 0.00467723 0.00460123 0.00452823 0.00445804 0.0043905 ],"[5.11813185e-05 4.88521245e-05 4.66908319e-05 4.46841474e-05
 4.28204753e-05 4.10889187e-05]",[0.00424464 0.00418871 0.00413432 0.00408138 0.00402984 0.00397961]
328,[0.01108382 0.01093371 0.01079052 0.01065374 0.01052288 0.01039752],"[4.72490810e-05 4.44140836e-05 4.18911779e-05 3.96493831e-05
 3.76616861e-05 3.59033225e-05]",[0.01061133 0.01048957 0.01037161 0.01025725 0.01014626 0.01003848]
329,[0.00739129 0.00722727 0.00707302 0.00692771 0.00679059 0.00666099],"[5.27637560e-05 4.94434861e-05 4.65239963e-05 4.39616291e-05
 4.17190733e-05 3.97616631e-05]",[0.00686365 0.00673284 0.00660778 0.00648809 0.0063734  0.00626337]
330,[0.01419339 0.01401766 0.01384946 0.01368829 0.01353364 0.01338507],"[9.51348279e-05 8.79872222e-05 8.14374942e-05 7.54390350e-05
 6.99468691e-05 6.49202658e-05]",[0.01324204 0.01313779 0.01303508 0.0129339  0.01283417 0.01273587]
331,[0.00824088 0.00813864 0.00804011 0.00794509 0.00785334 0.00776467],"[6.54350868e-05 6.13393334e-05 5.75410513e-05 5.40189714e-05
 5.07524397e-05 4.77233887e-05]",[0.00758653 0.00752524 0.0074647  0.0074049  0.00734582 0.00728744]
332,[0.01159889 0.01132438 0.01106947 0.01083218 0.01061075 0.01040366],"[7.18347433e-05 6.74481665e-05 6.36870351e-05 6.04738273e-05
 5.77391020e-05 5.54230128e-05]",[0.01088055 0.0106499  0.0104326  0.01022744 0.01003336 0.00984943]
333,[0.00646532 0.00635321 0.00624622 0.006144   0.00604624 0.00595264],"[5.97279593e-05 5.56596585e-05 5.19302844e-05 4.85123545e-05
 4.53810795e-05 4.25136258e-05]",[0.00586805 0.00579662 0.00572692 0.00565887 0.00559243 0.0055275 ]
334,[0.0056518  0.00556977 0.00549152 0.00541679 0.0053453  0.00527685],"[3.98381946e-05 3.72318372e-05 3.48526273e-05 3.26808960e-05
 3.06986446e-05 2.88899676e-05]",[0.00525342 0.00519745 0.00514299 0.00508998 0.00503832 0.00498795]
335,[0.01246628 0.01227015 0.01208381 0.01190649 0.01173749 0.01157616],"[8.31134299e-05 7.87405033e-05 7.47910096e-05 7.12244956e-05
 6.80032168e-05 6.50941050e-05]",[0.01163514 0.01148275 0.0113359  0.01119425 0.01105746 0.01092522]
336,[0.01326706 0.01315395 0.01304356 0.01293572 0.01283032 0.01272719],"[3.04548479e-05 2.89092509e-05 2.75022590e-05 2.62229068e-05
 2.50614931e-05 2.40084307e-05]",[0.01296251 0.01286486 0.01276853 0.01267349 0.0125797  0.01248711]
337,[0.01119335 0.01103178 0.01087667 0.01072759 0.01058416 0.01044598],"[6.72620288e-05 6.28972943e-05 5.89155049e-05 5.52842801e-05
 5.19745236e-05 4.89585763e-05]",[0.01052073 0.01040281 0.01028752 0.01017475 0.01006441 0.00995639]
338,[0.01258556 0.01229486 0.01202229 0.01176635 0.01152565 0.01129894],"[3.96739435e-05 3.88561854e-05 3.84544657e-05 3.84103495e-05
 3.86718630e-05 3.91933023e-05]",[0.01218882 0.01190629 0.01163774 0.01138225 0.01113893 0.01090701]
339,[0.00406143 0.00397871 0.00390025 0.00382572 0.00375487 0.00368744],"[7.16316688e-05 6.68048179e-05 6.23374742e-05 5.82023341e-05
 5.43739713e-05 5.08298239e-05]",[0.00334511 0.00331067 0.00327687 0.0032437  0.00321113 0.00317915]
340,[0.00465995 0.00458275 0.00450872 0.00443766 0.00436939 0.00430374],"[5.22854927e-05 4.90518008e-05 4.60566932e-05 4.32825820e-05
 4.07134743e-05 3.83339942e-05]",[0.0041371  0.00409223 0.00404816 0.00400484 0.00396226 0.0039204 ]
341,[0.00680597 0.00666227 0.00652697 0.00639938 0.00627887 0.00616488],"[6.85662113e-05 6.45609302e-05 6.09611329e-05 5.77273249e-05
 5.48230618e-05 5.22160153e-05]",[0.00612031 0.00601666 0.00591736 0.00582211 0.00573064 0.00564272]
342,[0.00917762 0.00899238 0.00881766 0.00865266 0.00849661 0.00834883],"[6.17964228e-05 5.91420899e-05 5.68596316e-05 5.49087289e-05
 5.32534473e-05 5.18611643e-05]",[0.00855965 0.00840096 0.00824906 0.00810357 0.00796407 0.00783022]
343,[0.00436874 0.00428881 0.00421303 0.00414109 0.00407271 0.00400764],"[5.70497086e-05 5.29141252e-05 4.91162830e-05 4.56292630e-05
 4.24274497e-05 3.94884659e-05]",[0.00379824 0.00375967 0.00372187 0.0036848  0.00364843 0.00361276]
344,[0.00428517 0.00422442 0.00416607 0.00410997 0.00405596 0.00400394],"[3.72423385e-05 3.52158477e-05 3.33433579e-05 3.16131042e-05
 3.00142917e-05 2.85376532e-05]",[0.00391274 0.00387226 0.00383264 0.00379384 0.00375582 0.00371857]
345,[0.0069942  0.00687834 0.00676706 0.00666006 0.0065571  0.00645792],"[6.40630451e-05 6.07353059e-05 5.76775624e-05 5.48682694e-05
 5.22880646e-05 4.99181560e-05]",[0.00635357 0.00627099 0.00619028 0.00611138 0.00603422 0.00595874]
346,[0.00570561 0.00561914 0.00553582 0.00545546 0.00537789 0.00530293],"[3.52357745e-05 3.34447985e-05 3.17987915e-05 3.02860365e-05
 2.88955724e-05 2.76174788e-05]",[0.00535325 0.00528469 0.00521783 0.0051526  0.00508894 0.00502676]
347,[0.01072017 0.01056067 0.01040702 0.01025882 0.0101157  0.00997731],"[7.17994773e-05 6.65971804e-05 6.18294886e-05 5.74609925e-05
 5.34592215e-05 4.97937420e-05]",[0.01000218 0.0098947  0.00978872 0.00968421 0.00958111 0.00947937]
348,[0.00765052 0.00754037 0.0074342  0.00733178 0.00723284 0.00713718],"[5.67035090e-05 5.29786191e-05 4.95441325e-05 4.63774430e-05
 4.34576953e-05 4.07658460e-05]",[0.00708348 0.00701058 0.00693876 0.006868   0.00679827 0.00672952]
349,[0.00777318 0.00760117 0.00743885 0.00728543 0.00714019 0.00700244],"[5.53473444e-05 5.13617330e-05 4.78156088e-05 4.46622879e-05
 4.18617823e-05 3.93765237e-05]",[0.0072197  0.00708755 0.0069607  0.00683881 0.00672157 0.00660867]
350,[0.00450356 0.0044405  0.00437976 0.00432119 0.00426468 0.00421012],"[4.23501468e-05 3.99854344e-05 3.77869024e-05 3.57429630e-05
 3.38428395e-05 3.20763959e-05]",[0.00408006 0.00404065 0.00400189 0.00396376 0.00392626 0.00388936]
351,[0.00867596 0.00858509 0.00849705 0.00841169 0.00832886 0.0082484 ],"[3.91136343e-05 3.66033684e-05 3.42873760e-05 3.21510635e-05
 3.01814608e-05 2.83663841e-05]",[0.00828482 0.00821906 0.00815418 0.00809018 0.00802704 0.00796474]
352,[0.0101     0.00997579 0.00985647 0.00974167 0.00963107 0.00952439],"[4.56214286e-05 4.27978141e-05 4.02370957e-05 3.79159000e-05
 3.58126696e-05 3.39083091e-05]",[0.00964378 0.00954781 0.0094541  0.00936251 0.00927295 0.00918531]
353,[0.01326199 0.01307546 0.01289811 0.01272922 0.01256808 0.01241411],"[6.00301465e-05 5.62629830e-05 5.29211907e-05 4.99618327e-05
 4.73454894e-05 4.50376474e-05]",[0.01266169 0.01251283 0.0123689  0.0122296  0.01209462 0.01196373]
354,[0.00732985 0.00718798 0.00705331 0.00692532 0.00680356 0.00668757],"[9.26382417e-05 8.67502688e-05 8.13447963e-05 7.63810598e-05
 7.18236577e-05 6.76392131e-05]",[0.00640347 0.00632047 0.00623986 0.00616151 0.00608532 0.00601118]
355,[0.01300796 0.01272091 0.01245338 0.01220342 0.01196933 0.01174957],"[5.50910857e-05 5.28025584e-05 5.09708086e-05 4.95303260e-05
 4.84261078e-05 4.76093727e-05]",[0.01245705 0.01219289 0.01194367 0.01170812 0.01148507 0.01127347]
356,[0.00690187 0.00677138 0.00664737 0.00652937 0.00641691 0.00630959],"[5.44703076e-05 5.18027561e-05 4.94026071e-05 4.72437926e-05
 4.53026219e-05 4.35583734e-05]",[0.00635717 0.00625335 0.00615335 0.00605693 0.00596388 0.005874  ]
357,[0.0065696  0.00643182 0.00630269 0.00618146 0.00606746 0.00596004],"[5.78863561e-05 5.40090721e-05 5.05488163e-05 4.74633052e-05
 4.47137888e-05 4.22654899e-05]",[0.00599074 0.00589173 0.0057972  0.00570683 0.00562032 0.00553739]
358,[0.00654967 0.00643937 0.00633422 0.00623385 0.00613795 0.00604622],"[6.38005932e-05 5.96659281e-05 5.58716678e-05 5.23898308e-05
 4.91952352e-05 4.62649046e-05]",[0.00591167 0.00584271 0.0057755  0.00570996 0.005646   0.00558357]
359,[0.01554131 0.01536997 0.01520391 0.01504279 0.01488629 0.01473414],"[8.26308975e-05 7.76226610e-05 7.29974295e-05 6.87265727e-05
 6.47823939e-05 6.11408241e-05]",[0.014715   0.01459375 0.01447393 0.01435552 0.01423846 0.01412273]
360,[0.00984351 0.00973178 0.00962342 0.00951823 0.00941602 0.00931663],"[2.58679826e-05 2.46332069e-05 2.35243624e-05 2.25303594e-05
 2.16408476e-05 2.08466248e-05]",[0.00958483 0.00948545 0.00938817 0.00929293 0.00919961 0.00910816]
361,[0.00823926 0.00804569 0.0078645  0.00769459 0.00753499 0.0073848 ],"[4.01405818e-05 3.77932627e-05 3.58650222e-05 3.43037084e-05
 3.30640878e-05 3.21055455e-05]",[0.00783786 0.00766776 0.00750585 0.00735155 0.00720435 0.00706374]
362,[0.01029301 0.01000713 0.00974182 0.00949503 0.00926498 0.00905004],"[2.88678161e-05 2.74586687e-05 2.65627203e-05 2.61020548e-05
 2.60097058e-05 2.62263693e-05]",[0.01000434 0.00973254 0.00947619 0.00923401 0.00900488 0.00878778]
363,[0.01248838 0.01216827 0.01186902 0.0115888  0.011326   0.0110791 ],"[8.24742806e-05 7.77878796e-05 7.38302230e-05 7.05152441e-05
 6.77665945e-05 6.55147149e-05]",[0.01166364 0.01139039 0.01113072 0.01088365 0.01064833 0.01042395]
364,[0.01600142 0.01555571 0.01514272 0.01475943 0.01440311 0.01407133],"[4.86053470e-05 4.85832698e-05 4.91701222e-05 5.02664692e-05
 5.17838271e-05 5.36454792e-05]",[0.01551536 0.01506988 0.01465101 0.01425676 0.01388528 0.01353487]
365,[0.00388167 0.00379616 0.00371505 0.00363801 0.00356475 0.003495  ],"[5.96117779e-05 5.59452000e-05 5.25646789e-05 4.94466922e-05
 4.65705289e-05 4.39152867e-05]",[0.00328555 0.00323671 0.0031894  0.00314354 0.00309904 0.00305585]
366,[0.0080573  0.0079156  0.00778014 0.00765046 0.00752619 0.00740698],"[7.33581967e-05 6.81057615e-05 6.32960408e-05 5.88924671e-05
 5.48622184e-05 5.11745309e-05]",[0.00732372 0.00723455 0.00714718 0.00706153 0.00697757 0.00689523]
367,[0.01657477 0.01634007 0.01611546 0.01590014 0.01569338 0.01549451],"[6.99998923e-05 6.53862663e-05 6.12655911e-05 5.75898493e-05
 5.43158817e-05 5.14040883e-05]",[0.01587477 0.0156862  0.01550281 0.01532424 0.01515022 0.01498047]
368,[0.00602063 0.00591786 0.00581911 0.00572412 0.00563266 0.0055445 ],"[4.59625369e-05 4.31322512e-05 4.05355196e-05 3.81538364e-05
 3.59693428e-05 3.39665401e-05]",[0.005561   0.00548654 0.00541376 0.00534258 0.00527296 0.00520483]
369,[0.01159338 0.01144344 0.0112982  0.01115735 0.01102058 0.01088764],"[4.65072196e-05 4.39648719e-05 4.16415310e-05 3.95193060e-05
 3.75798768e-05 3.58082851e-05]",[0.01112831 0.01100379 0.01088179 0.01076216 0.01064479 0.01052956]
370,[0.00726612 0.00715091 0.0070405  0.00693455 0.00683281 0.00673498],"[5.98287673e-05 5.63588543e-05 5.31782697e-05 5.02636195e-05
 4.75936094e-05 4.51480014e-05]",[0.00666783 0.00658732 0.00650871 0.00643192 0.00635687 0.0062835 ]
371,[0.01151821 0.01138931 0.01126465 0.01114397 0.011027   0.01091351],"[6.15055355e-05 5.73420260e-05 5.35029793e-05 4.99634964e-05
 4.67010640e-05 4.36947156e-05]",[0.01090316 0.01081589 0.01072963 0.01064433 0.01055999 0.01047657]
372,[0.00396834 0.00390185 0.00383833 0.00377757 0.0037194  0.00366365],"[4.63585557e-05 4.34490692e-05 4.07612353e-05 3.82774735e-05
 3.59822853e-05 3.38611895e-05]",[0.00350475 0.00346736 0.00343071 0.00339479 0.00335958 0.00332504]
373,[0.00339572 0.00333944 0.00328557 0.00323394 0.00318443 0.00313691],"[4.74422211e-05 4.46179883e-05 4.19905495e-05 3.95458992e-05
 3.72713811e-05 3.51550207e-05]",[0.00292129 0.00289326 0.00286566 0.00283848 0.00281172 0.00278536]
374,[0.00795326 0.00775489 0.00757062 0.0073991  0.00723914 0.00708965],"[4.39453110e-05 4.17065919e-05 3.98957013e-05 3.84558530e-05
 3.73372204e-05 3.64953681e-05]",[0.0075138  0.00733782 0.00717166 0.00701454 0.00686577 0.0067247 ]
375,[0.00400432 0.00394566 0.00388913 0.00383459 0.00378194 0.00373107],"[4.41842735e-05 4.16828794e-05 3.93476797e-05 3.71677491e-05
 3.51319323e-05 3.32314235e-05]",[0.00356248 0.00352883 0.00349565 0.00346291 0.00343062 0.00339876]
376,[0.00515127 0.00506995 0.00499155 0.0049159  0.00484283 0.0047722 ],"[3.63431910e-05 3.42665295e-05 3.23532849e-05 3.05909209e-05
 2.89678107e-05 2.74728686e-05]",[0.00478784 0.00472728 0.00466802 0.00460999 0.00455315 0.00449747]
377,[0.01163614 0.01145583 0.01128383 0.01111955 0.0109624  0.01081189],"[6.71464770e-05 6.28180764e-05 5.89332734e-05 5.54502730e-05
 5.23320516e-05 4.95441294e-05]",[0.01096468 0.01082765 0.0106945  0.01056504 0.01043908 0.01031645]
378,[0.01424354 0.01395982 0.01369524 0.01344804 0.01321658 0.01299943],"[6.23388163e-05 6.02821707e-05 5.87086570e-05 5.75512951e-05
 5.67516009e-05 5.62561554e-05]",[0.01362015 0.013357   0.01310816 0.01287252 0.01264907 0.01243687]
379,[0.0073352  0.00718848 0.00704951 0.00691772 0.0067926  0.00667365],"[8.29225411e-05 7.72606878e-05 7.20946259e-05 6.73816910e-05
 6.30827711e-05 5.91633399e-05]",[0.00650597 0.00641587 0.00632856 0.00624391 0.00616177 0.00608202]
380,[0.0087219  0.0086171  0.00851554 0.00841703 0.00832141 0.00822851],"[5.40255986e-05 5.06398959e-05 4.74989618e-05 4.45847276e-05
 4.18815985e-05 3.93744565e-05]",[0.00818165 0.0081107  0.00804055 0.00797119 0.0079026  0.00783477]
381,[0.0102908  0.01002882 0.00978645 0.00956156 0.0093523  0.00915702],"[3.18433285e-05 3.13460827e-05 3.12321409e-05 3.14324976e-05
 3.18879624e-05 3.25475708e-05]",[0.00997236 0.00971536 0.00947413 0.00924724 0.00903342 0.00883155]
382,[0.00511113 0.00503041 0.00495341 0.00487988 0.00480958 0.00474228],"[4.80887725e-05 4.49548542e-05 4.20743889e-05 3.94269385e-05
 3.69944647e-05 3.47587078e-05]",[0.00463024 0.00458086 0.00453267 0.00448561 0.00443964 0.0043947 ]
383,[0.01553829 0.01507614 0.01465539 0.01427097 0.01391848 0.01359415],"[6.65003343e-05 6.19338012e-05 5.84556141e-05 5.58890164e-05
 5.40829573e-05 5.29090988e-05]",[0.01487328 0.0144568  0.01407084 0.01371208 0.01337765 0.01306506]
384,[0.00752948 0.00742741 0.0073294  0.00723517 0.00714444 0.00705698],"[3.20300277e-05 3.05027501e-05 2.91316956e-05 2.79014505e-05
 2.67987711e-05 2.58116870e-05]",[0.00720918 0.00712238 0.00703809 0.00695615 0.00687645 0.00679887]
385,[0.00667716 0.00656768 0.00646328 0.00636363 0.00626839 0.00617725],"[5.56580071e-05 5.20704878e-05 4.87977625e-05 4.58129805e-05
 4.30923356e-05 4.06126723e-05]",[0.00612058 0.00604697 0.00597531 0.0059055  0.00583746 0.00577112]
386,[0.00810687 0.00796371 0.00782779 0.00769858 0.00757557 0.00745832],"[7.80822750e-05 7.28993440e-05 6.81741278e-05 6.38666931e-05
 5.99407368e-05 5.63629317e-05]",[0.00732605 0.00723471 0.00714605 0.00705992 0.00697617 0.00689469]
387,[0.01233248 0.01208392 0.01184893 0.01162639 0.01141528 0.0112147 ],"[7.27835037e-05 6.96819656e-05 6.70192942e-05 6.47448820e-05
 6.28126342e-05 6.11825684e-05]",[0.01160465 0.0113871  0.01117873 0.01097894 0.01078716 0.01060287]
388,[0.00586591 0.00580186 0.00573972 0.00567941 0.00562082 0.00556385],"[3.98648171e-05 3.77714878e-05 3.58185745e-05 3.39963342e-05
 3.22965815e-05 3.07105402e-05]",[0.00546726 0.00542414 0.00538154 0.00533945 0.00529786 0.00525675]
389,[0.0149022  0.01452125 0.01417266 0.01385259 0.01355768 0.01328504],"[3.62693851e-05 3.43885523e-05 3.32533952e-05 3.27335202e-05
 3.27186286e-05 3.31138499e-05]",[0.0145395  0.01417737 0.01384013 0.01352526 0.0132305  0.0129539 ]
390,[0.0125672  0.0123016  0.01205444 0.01182384 0.01160815 0.01140592],"[3.06561136e-05 2.90509580e-05 2.79273229e-05 2.72127206e-05
 2.68447116e-05 2.67683694e-05]",[0.01226064 0.01201109 0.01177517 0.01155171 0.01133971 0.01113824]
391,[0.00506986 0.00499855 0.00493038 0.00486512 0.00480258 0.00474256],"[4.30867543e-05 4.03781928e-05 3.78861048e-05 3.55938427e-05
 3.34857375e-05 3.15469685e-05]",[0.004639   0.00459477 0.00455151 0.00450918 0.00446772 0.00442709]
392,[0.00779619 0.00762895 0.00747072 0.00732081 0.0071786  0.0070435 ],"[9.64919019e-05 9.10889502e-05 8.61591771e-05 8.16600957e-05
 7.75535390e-05 7.38039937e-05]",[0.00683127 0.00671806 0.00660913 0.00650421 0.00640306 0.00630546]
393,[0.01087891 0.0107604  0.01064547 0.01053391 0.01042554 0.01032017],"[4.78895149e-05 4.49208828e-05 4.21848832e-05 3.96640460e-05
 3.73419472e-05 3.52044207e-05]",[0.01040001 0.01031119 0.01022362 0.01013727 0.01005212 0.00996812]
394,[0.00978505 0.00968356 0.00958507 0.00948943 0.00939647 0.00930603],"[3.53777077e-05 3.32918703e-05 3.13739269e-05 2.96109532e-05
 2.79908335e-05 2.65030628e-05]",[0.00943127 0.00935064 0.00927133 0.00919332 0.00911656 0.009041  ]
395,[0.01179384 0.01161813 0.01145104 0.01129189 0.01114008 0.01099505],"[5.95059022e-05 5.60086741e-05 5.28981128e-05 5.01363692e-05
 4.76885103e-05 4.55231463e-05]",[0.01119878 0.01105805 0.01092206 0.01079052 0.0106632  0.01053982]
396,[0.00562035 0.00553009 0.00544363 0.00536072 0.00528115 0.00520471],"[6.57784737e-05 6.17647328e-05 5.80441374e-05 5.45956163e-05
 5.13992997e-05 4.84366118e-05]",[0.00496256 0.00491244 0.00486319 0.00481476 0.00476716 0.00472035]
397,[0.00954166 0.00932093 0.0091151  0.0089227  0.00874248 0.00857328],"[6.81915403e-05 6.59181392e-05 6.40201989e-05 6.24449210e-05
 6.11480068e-05 6.00891801e-05]",[0.00885975 0.00866175 0.0084749  0.00829825 0.008131   0.00797239]
398,[0.00616613 0.0060648  0.00596735 0.00587356 0.0057832  0.00569606],"[6.28207495e-05 5.87639762e-05 5.49993848e-05 5.15059843e-05
 4.82638973e-05 4.52551060e-05]",[0.00553793 0.00547716 0.00541735 0.0053585  0.00530056 0.00524351]
399,[0.00785751 0.007719   0.0075863  0.007459   0.00733674 0.00721917],"[4.46448663e-05 4.17371404e-05 3.91034957e-05 3.67183192e-05
 3.45584239e-05 3.26033662e-05]",[0.00741106 0.00730163 0.00719526 0.00709182 0.00699116 0.00689313]
400,[0.009005   0.00885328 0.00870845 0.00857005 0.00843765 0.00831084],"[8.19335847e-05 7.64869804e-05 7.15014646e-05 6.69398622e-05
 6.27671381e-05 5.89521153e-05]",[0.00818567 0.00808841 0.00799343 0.00790066 0.00780998 0.00772132]
401,[0.00864254 0.00853879 0.00843874 0.00834215 0.0082488  0.00815848],"[4.08333722e-05 3.84520138e-05 3.62804907e-05 3.43016329e-05
 3.24988305e-05 3.08578972e-05]",[0.00823421 0.00815426 0.00807593 0.00799914 0.00792381 0.0078499 ]
402,[0.00582876 0.00572125 0.00561876 0.00552092 0.00542738 0.00533784],"[4.53819719e-05 4.28546929e-05 4.05553848e-05 3.84622768e-05
 3.65564104e-05 3.48200614e-05]",[0.00537494 0.0052927  0.00521321 0.0051363  0.00506182 0.00498964]
403,[0.00847042 0.00832368 0.00818364 0.0080498  0.00792175 0.0077991 ],"[6.99996947e-05 6.50172792e-05 6.04822236e-05 5.63557499e-05
 5.26030676e-05 4.91921859e-05]",[0.00777042 0.00767351 0.00757881 0.00748625 0.00739572 0.00730717]
404,[0.00766239 0.00756969 0.00747999 0.00739309 0.00730884 0.00722706],"[4.41090712e-05 4.12185252e-05 3.85460562e-05 3.60756030e-05
 3.37922483e-05 3.16821991e-05]",[0.00722129 0.00715751 0.00709453 0.00703234 0.00697092 0.00691024]
405,[0.01426888 0.01393256 0.01361927 0.01332695 0.01305371 0.01279785],"[4.67544396e-05 4.64827894e-05 4.66434868e-05 4.71681301e-05
 4.79952159e-05 4.90719015e-05]",[0.01380134 0.01346773 0.01315284 0.01285526 0.01257376 0.01230713]
406,[0.00597489 0.0059142  0.00585522 0.00579784 0.00574198 0.00568756],"[3.13685860e-05 2.95438567e-05 2.78460465e-05 2.62662858e-05
 2.47965493e-05 2.34293771e-05]",[0.00566121 0.00561876 0.00557676 0.00553517 0.00549401 0.00545326]
407,[0.00720087 0.00710602 0.00701493 0.00692737 0.00684309 0.00676191],"[5.13269319e-05 4.78775025e-05 4.47009646e-05 4.17766330e-05
 3.90848546e-05 3.66086902e-05]",[0.0066876  0.00662725 0.00656792 0.0065096  0.00645225 0.00639583]
408,[0.00872973 0.00852038 0.00832415 0.00813993 0.00796672 0.00780361],"[4.56458125e-05 4.36451061e-05 4.20501256e-05 4.08101851e-05
 3.98810068e-05 3.92216281e-05]",[0.00827327 0.00808393 0.00790365 0.00773183 0.00756791 0.00741139]
409,[0.00766069 0.00755684 0.0074571  0.00736121 0.00726891 0.00717996],"[6.06992007e-05 5.66165699e-05 5.28511130e-05 4.93778219e-05
 4.61739153e-05 4.32183293e-05]",[0.0070537  0.00699067 0.00692859 0.00686743 0.00680717 0.00674778]
410,[0.00748456 0.00739543 0.00730926 0.00722587 0.00714509 0.00706676],"[4.51031157e-05 4.22892440e-05 3.96880070e-05 3.72840956e-05
 3.50629017e-05 3.30104868e-05]",[0.00703353 0.00697254 0.00691238 0.00685303 0.00679446 0.00673666]
411,[0.00967383 0.00956449 0.00945883 0.00935662 0.00925764 0.00916168],"[5.27761038e-05 4.91636443e-05 4.58290360e-05 4.27502550e-05
 3.99089773e-05 3.72865634e-05]",[0.00914607 0.00907285 0.00900054 0.00892912 0.00885855 0.00878882]
