,inner_loss,inner_loss_b,inner_loss_f
23,[0.0039799  0.00391729 0.00385679 0.00379831 0.00374171 0.00368692],"[3.13382568e-05 2.94065863e-05 2.76075537e-05 2.59321743e-05
 2.43716744e-05 2.29186229e-05]",[0.00366651 0.00362322 0.00358072 0.00353899 0.00349799 0.00345774]
24,[0.00901975 0.00888679 0.00875955 0.0086376  0.00852057 0.00840811],"[4.96547706e-05 4.66789090e-05 4.39826282e-05 4.15407893e-05
 3.93295516e-05 3.73286170e-05]",[0.0085232  0.00842    0.00831972 0.00822219 0.00812727 0.00803482]
25,[0.00932369 0.00912099 0.00893095 0.0087524  0.00858435 0.00842585],"[3.72474087e-05 3.51090678e-05 3.33623258e-05 3.19572601e-05
 3.08501266e-05 3.00014606e-05]",[0.00895122 0.0087699  0.00859732 0.00843283 0.00827585 0.00812583]
26,[0.00792073 0.00783365 0.00774958 0.00766832 0.00758971 0.0075136 ],"[4.94782776e-05 4.63129360e-05 4.33811859e-05 4.06659085e-05
 3.81521796e-05 3.58252951e-05]",[0.00742595 0.00737053 0.00731577 0.00726166 0.00720818 0.00715534]
27,[0.01296574 0.01277713 0.01259818 0.01242804 0.01226597 0.01211125],"[3.56096420e-05 3.36155370e-05 3.19377823e-05 3.05384177e-05
 2.93847081e-05 2.84469813e-05]",[0.01260965 0.01244097 0.0122788  0.01212266 0.01197212 0.01182678]
28,[0.00942414 0.00929912 0.00917915 0.00906386 0.00895294 0.00884609],"[4.12531046e-05 3.84791536e-05 3.59648811e-05 3.36875374e-05
 3.16254734e-05 2.97598457e-05]",[0.00901161 0.00891433 0.0088195  0.00872699 0.00863669 0.00854849]
29,[0.00921088 0.00906326 0.00892245 0.00878795 0.00865929 0.00853605],"[4.42530025e-05 4.15797434e-05 3.91955191e-05 3.70722899e-05
 3.51841881e-05 3.35083087e-05]",[0.00876835 0.00864746 0.00853049 0.00841723 0.00830745 0.00820097]
30,[0.00557033 0.0054558  0.00534818 0.00524683 0.00515118 0.0050607 ],"[7.13871115e-05 6.77913504e-05 6.44921760e-05 6.14614962e-05
 5.86746121e-05 5.61083293e-05]",[0.00485646 0.00477788 0.00470326 0.00463221 0.00456443 0.00449962]
31,[0.01018337 0.00999015 0.00980985 0.0096412  0.00948303 0.00933434],"[3.08545974e-05 2.93099692e-05 2.81028422e-05 2.71861591e-05
 2.65184612e-05 2.60643892e-05]",[0.00987482 0.00969705 0.00952883 0.00936934 0.00921785 0.0090737 ]
32,[0.00576603 0.00571539 0.00566587 0.00561742 0.00557    0.00552356],"[1.80368855e-05 1.71534771e-05 1.63352632e-05 1.55773855e-05
 1.48757769e-05 1.42271347e-05]",[0.00558566 0.00554385 0.00550251 0.00546165 0.00542124 0.00538129]
33,[0.02060112 0.01999158 0.01942658 0.01890231 0.01841524 0.01796212],"[6.97928067e-05 6.73270460e-05 6.58917860e-05 6.53425438e-05
 6.55490297e-05 6.63962319e-05]",[0.01990319 0.01931831 0.01876766 0.01824889 0.01775975 0.01729815]
34,[0.01052346 0.01039673 0.01027487 0.01015754 0.01004444 0.0099353 ],"[6.60027366e-05 6.23534428e-05 5.89916946e-05 5.58957578e-05
 5.30435279e-05 5.04154833e-05]",[0.00986343 0.0097732  0.00968495 0.00959859 0.00951401 0.00943115]
35,[0.01618223 0.01600077 0.01582608 0.01565767 0.01549512 0.01533799],"[4.32215229e-05 4.06069633e-05 3.82888649e-05 3.62393301e-05
 3.44327542e-05 3.28456966e-05]",[0.01575002 0.0155947  0.01544319 0.01529527 0.01515079 0.01500954]
36,[0.01003045 0.00983043 0.00964252 0.00946559 0.0092986  0.00914063],"[4.93979749e-05 4.82639219e-05 4.73669322e-05 4.66728313e-05
 4.61503605e-05 4.57734452e-05]",[0.00953647 0.00934779 0.00916885 0.00899887 0.0088371  0.00868289]
37,[0.00880928 0.00868211 0.0085607  0.00844463 0.00833353 0.00822704],"[4.29500368e-05 4.01675216e-05 3.76625916e-05 3.54096764e-05
 3.33858405e-05 3.15694974e-05]",[0.00837978 0.00828043 0.00818408 0.00809054 0.00799967 0.00791134]
38,[0.01299481 0.01274366 0.01251056 0.01229361 0.01209117 0.01190177],"[4.39667416e-05 4.12424847e-05 3.90533200e-05 3.73239736e-05
 3.59897606e-05 3.49933959e-05]",[0.01255514 0.01233124 0.01212002 0.01192037 0.01173127 0.01155183]
39,[0.0073538  0.007214   0.00708109 0.00695455 0.00683393 0.00671878],"[4.77451103e-05 4.50482889e-05 4.26364814e-05 4.04824667e-05
 3.85603485e-05 3.68476563e-05]",[0.00687635 0.00676351 0.00665472 0.00654973 0.00644833 0.0063503 ]
40,[0.02177054 0.02085918 0.02004351 0.01931152 0.01865271 0.01805791],"[2.46723173e-05 2.38651995e-05 2.48359937e-05 2.72246334e-05
 3.07271932e-05 3.50878332e-05]",[0.02152382 0.02062053 0.01979515 0.01903928 0.01834544 0.01770703]
