,inner_loss,inner_loss_i,inner_loss_b,inner_loss_f
380,[0.14215763 0.09707914 0.07996989 0.06952253 0.06235834 0.05705768],[0.08426935 0.06227816 0.04893892 0.03967048 0.03327825 0.02855301],[0.01966773 0.01849345 0.01943988 0.02044507 0.02112577 0.02150801],[0.03822055 0.01630753 0.01159109 0.00940698 0.00795432 0.00699665]
381,[0.13782289 0.09561338 0.0789299  0.06831188 0.06147304 0.05652371],[0.08482153 0.06425486 0.04926368 0.03980111 0.03274854 0.02817788],[0.01721384 0.01750732 0.01927518 0.0207741  0.02185445 0.02246187],[0.03578752 0.0138512  0.01039103 0.00773666 0.00687006 0.00588396]
382,[0.15049558 0.11007245 0.09291742 0.0818899  0.07578576 0.06999888],[0.09916641 0.07836294 0.06361549 0.05217233 0.04517652 0.03836434],[0.01512138 0.01577657 0.01764002 0.01929135 0.02040406 0.02114583],[0.03620778 0.01593294 0.01166191 0.01042622 0.01020517 0.01048871]
383,[0.14339712 0.10550131 0.08756187 0.07616483 0.0680429  0.06126817],[0.10472358 0.07792355 0.06027076 0.04810744 0.0397329  0.03330941],[0.01266644 0.01385947 0.01598685 0.017916   0.01930664 0.02027335],[0.02600711 0.0137183  0.01130427 0.01014138 0.00900336 0.00768541]
384,[0.13581304 0.09623563 0.08013322 0.07086115 0.06694547 0.06390482],[0.10015209 0.07271054 0.0565006  0.04483186 0.03838849 0.03152639],[0.00907942 0.01128059 0.01386819 0.01612788 0.01770558 0.01891901],[0.02658153 0.0122445  0.00976443 0.00990142 0.0108514  0.01345942]
385,[0.1618468  0.12044551 0.09846315 0.08475097 0.07537048 0.06849446],[0.13213758 0.09648414 0.07356308 0.05825639 0.04758681 0.03992342],[0.00883294 0.01198055 0.01555785 0.01859281 0.02089368 0.02248597],[0.02087628 0.01198082 0.00934222 0.00790176 0.00689    0.00608508]
386,[0.16227645 0.1221406  0.10262716 0.08961778 0.08219661 0.07519986],[0.12350828 0.09568268 0.07653487 0.06280083 0.05345604 0.04635021],[0.00659518 0.00828419 0.01085631 0.01333156 0.01527416 0.01679321],[0.032173   0.01817373 0.01523598 0.0134854  0.0134664  0.01205644]
387,[0.14607069 0.10700606 0.08823979 0.07709811 0.07065507 0.06563119],[0.11286788 0.08486538 0.06572679 0.05326222 0.04389812 0.03827625],[0.00633806 0.00816609 0.01090803 0.01337461 0.01541432 0.01678307],[0.02686474 0.01397459 0.01160497 0.01046128 0.01134263 0.01057187]
388,[0.1617529  0.11892057 0.09895813 0.08602108 0.07907519 0.07225238],[0.11981141 0.0939798  0.07375744 0.06076985 0.05015069 0.04441914],[0.00623594 0.00801273 0.01078302 0.01341279 0.01557788 0.01709322],[0.03570554 0.01692804 0.01441768 0.01183844 0.01334662 0.01074003]
389,[0.13843292 0.10123185 0.0823951  0.07037472 0.06244914 0.05672474],[0.10397874 0.07682506 0.0582068  0.04671029 0.03800541 0.03228177],[0.00659833 0.00854395 0.01122508 0.01366109 0.01559641 0.01700009],[0.02785585 0.01586284 0.01296321 0.01000334 0.00884732 0.00744287]
390,[0.1426183  0.10400569 0.08664979 0.07649415 0.06952184 0.06420835],[0.10145604 0.07717946 0.0600928  0.0493368  0.04091096 0.03589507],[0.00688575 0.00902105 0.01172893 0.01415695 0.0161038  0.01749189],[0.03427652 0.01780517 0.01482806 0.0130004  0.01250709 0.01082139]
391,[0.16870759 0.1255437  0.10356469 0.08992695 0.08078979 0.07406455],[0.13120056 0.0970019  0.0752918  0.06026422 0.05018909 0.04257124],[0.00844261 0.01147556 0.01525889 0.018547   0.02111624 0.02292438],[0.02906442 0.01706624 0.01301399 0.01111572 0.00948446 0.00856894]
392,[0.13045074 0.09558034 0.0780849  0.06728946 0.06004559 0.05482706],[0.09770775 0.07077817 0.05376345 0.04230525 0.03441097 0.02876936],[0.00866585 0.0106344  0.01332635 0.01571491 0.01753813 0.01881617],[0.02407713 0.01416777 0.01099511 0.0092693  0.00809648 0.00724153]
393,[0.1450604  0.11129936 0.09361148 0.08213573 0.07403565 0.06789995],[0.11099521 0.08355873 0.06573233 0.05357084 0.04488749 0.03845052],[0.01029241 0.01262853 0.01532308 0.01764318 0.01937592 0.02058437],[0.02377278 0.0151121  0.01255606 0.0109217  0.00977224 0.00886506]
394,[0.15818913 0.11940887 0.09965283 0.08702    0.07829449 0.0718738 ],[0.11789728 0.08968492 0.07047119 0.05729559 0.04785195 0.040865  ],[0.01122101 0.01358224 0.01684145 0.01964098 0.02186239 0.02345373],[0.02907084 0.01614171 0.0123402  0.01008342 0.00858015 0.00755507]
395,[0.14244652 0.10585083 0.08753389 0.07602688 0.06966144 0.06536775],[0.10734126 0.08077266 0.06173573 0.05015115 0.04050748 0.03603159],[0.00957462 0.01093989 0.01318633 0.01521302 0.01681249 0.01779884],[0.02553064 0.01413828 0.01261182 0.01066271 0.01234147 0.01153731]
396,[0.140015   0.10434171 0.08735731 0.07661652 0.06988364 0.06433408],[0.10442727 0.07900163 0.06216064 0.05035973 0.04232747 0.03607723],[0.0102503  0.01194472 0.01428916 0.01643167 0.01805515 0.01922739],[0.02533743 0.01339536 0.01090751 0.00982512 0.00950102 0.00902946]
397,[0.1468794  0.10859631 0.08992202 0.07791928 0.06949883 0.06330212],[0.10543653 0.0817732  0.06433914 0.05213258 0.04312253 0.03654431],[0.01053025 0.01167736 0.01382752 0.01582489 0.01741861 0.01859943],[0.03091262 0.01514576 0.01175536 0.0099618  0.00895768 0.00815838]
398,[0.12611319 0.09207014 0.07526104 0.06494882 0.05841205 0.05384475],[0.08754218 0.06463213 0.04979584 0.03976454 0.03272364 0.02755776],[0.0113705  0.01208475 0.01364168 0.01509566 0.01619719 0.01692291],[0.02720051 0.01535327 0.01182353 0.01008863 0.00949122 0.00936408]
399,[0.15365238 0.11772561 0.09809711 0.08562079 0.07747629 0.07093687],[0.11632817 0.08842185 0.07000134 0.05602714 0.04733082 0.03946277],[0.01302852 0.0143177  0.01645097 0.01851809 0.02013044 0.02135739],[0.0242957  0.01498606 0.0116448  0.01107556 0.01001502 0.01011672]
400,[0.16329726 0.12618961 0.10729852 0.09489133 0.08639243 0.08133104],[0.12172033 0.09571386 0.07718675 0.06392382 0.05437935 0.04700651],[0.01411367 0.01607496 0.01867991 0.02098594 0.02274909 0.02401524],[0.02746326 0.01440079 0.01143186 0.00998157 0.009264   0.01030929]
401,[0.13751269 0.09881711 0.08283433 0.07299024 0.0673661  0.06239688],[0.09205796 0.07156276 0.05581128 0.0462407  0.03757161 0.03377374],[0.01406164 0.01465922 0.01622564 0.01760359 0.01881412 0.01940441],[0.03139309 0.01259513 0.01079741 0.00914595 0.01098037 0.00921873]
402,[0.14440844 0.11156058 0.09375352 0.08198142 0.07368296 0.06749691],[0.11187722 0.08557097 0.06787341 0.05538878 0.04635651 0.03963674],[0.0129855  0.01468854 0.01679337 0.018709   0.02021713 0.02131151],[0.01954572 0.01130106 0.00908675 0.00788364 0.00710932 0.00654866]
403,[0.14830125 0.11093692 0.09295701 0.08072367 0.07175129 0.06489448],[0.1088972  0.08289183 0.06652347 0.05336668 0.04514541 0.03769216],[0.01289362 0.01362023 0.01537476 0.01717749 0.0185963  0.01974563],[0.02651044 0.01442486 0.01105877 0.0101795  0.00800959 0.00745669]
404,[0.16556262 0.12023075 0.1000545  0.08679297 0.07738439 0.07034755],[0.11622206 0.09182758 0.0735494  0.06027497 0.05043592 0.04306575],[0.01367138 0.0146791  0.01667474 0.01853884 0.02003537 0.02111714],[0.03566918 0.01372406 0.00983036 0.00797916 0.0069131  0.00616466]
405,[0.1314851  0.0978512  0.08133304 0.07052705 0.06287147 0.05713302],[0.09487313 0.07348443 0.05876503 0.04786092 0.04006032 0.0340907 ],[0.01216388 0.01232954 0.01358971 0.01493996 0.01605038 0.01687609],[0.02444809 0.01203723 0.0089783  0.00772617 0.00676078 0.00616622]
406,[0.13712951 0.1014491  0.08481325 0.07368141 0.0656207  0.05941134],[0.09225671 0.07122368 0.05732671 0.04667437 0.03924892 0.03317734],[0.01182171 0.01263748 0.01422444 0.0157114  0.01690857 0.01779074],[0.03305108 0.01758793 0.01326209 0.01129564 0.00946321 0.00844327]
407,[0.16296143 0.1256196  0.10639081 0.09367162 0.08487156 0.07907204],[0.12482052 0.09803415 0.07847527 0.06482389 0.05426634 0.04706801],[0.01198263 0.01423359 0.01706143 0.01958283 0.02162871 0.02310444],[0.02615828 0.01335186 0.01085411 0.00926489 0.00897651 0.00889959]
408,[0.14414712 0.10780755 0.08999422 0.07837353 0.0702379  0.06435335],[0.1052691  0.08268301 0.06563571 0.05358837 0.04457717 0.03804179],[0.01056486 0.01205585 0.01430458 0.01634616 0.01802055 0.01924302],[0.02831316 0.01306869 0.01005393 0.00843901 0.00764019 0.00706853]
409,[0.15300809 0.12007187 0.10154418 0.08899946 0.07988116 0.07287055],[0.11429918 0.0906877  0.07341391 0.06127357 0.05209844 0.04501693],[0.01224031 0.01328934 0.0150359  0.01667676 0.0179996  0.01896589],[0.0264686  0.01609483 0.01309437 0.01104913 0.00978313 0.00888773]
410,[0.16978137 0.13005229 0.10965493 0.09600126 0.08628831 0.07975105],[0.12366889 0.09790506 0.07883395 0.06511734 0.05455909 0.04691786],[0.01171605 0.0138934  0.016718   0.01932898 0.02149748 0.0231546 ],[0.03439643 0.01825383 0.01410298 0.01155495 0.01023174 0.0096786 ]
411,[0.14065337 0.10881873 0.09153137 0.07989115 0.07170797 0.06557074],[0.10933041 0.08400946 0.06715121 0.0545065  0.04573418 0.03861132],[0.01185653 0.01342334 0.01548148 0.0174204  0.01899666 0.02019401],[0.01946643 0.01138593 0.00889868 0.00796425 0.00697713 0.00676541]
412,[0.13193252 0.09962032 0.08268651 0.07167237 0.06394277 0.05823492],[0.09767467 0.07465978 0.05831518 0.04680364 0.03847513 0.03232685],[0.01055935 0.01204667 0.01413932 0.01605952 0.01759987 0.01872446],[0.02369851 0.01291387 0.01023201 0.00880922 0.00786777 0.00718361]
413,[0.14552153 0.10961213 0.09132248 0.07879779 0.06975314 0.06295601],[0.10815153 0.08519121 0.06807114 0.05593169 0.04627908 0.03944498],[0.00990165 0.010562   0.0122324  0.01395544 0.01541637 0.0165691 ],[0.02746835 0.01385893 0.01101894 0.00891066 0.00805769 0.00694193]
414,[0.15335492 0.11840835 0.09953782 0.08687539 0.07771047 0.07067868],[0.11693649 0.09185768 0.07365813 0.06079482 0.05084494 0.04362672],[0.01154022 0.01290917 0.01500068 0.01692637 0.01853295 0.01971407],[0.0248782  0.0136415  0.01087902 0.0091542  0.00833258 0.00733788]
415,[0.15834113 0.11544377 0.09543983 0.08224518 0.07319462 0.06640008],[0.11175258 0.08549089 0.06808496 0.05521056 0.04600786 0.03889929],[0.00989172 0.01159992 0.0139939  0.01624534 0.01815393 0.01963145],[0.03669684 0.01835296 0.01336097 0.01078928 0.00903284 0.00786933]
416,[0.14282574 0.1070949  0.08922665 0.07701199 0.0689754  0.06334802],[0.09842815 0.07803917 0.06309592 0.05150495 0.04367454 0.03695417],[0.00986587 0.01073822 0.01234452 0.01395814 0.01527788 0.01631956],[0.03453172 0.01831751 0.01378621 0.0115489  0.01002298 0.01007429]
417,[0.13272929 0.10156036 0.08430131 0.07301181 0.0652199  0.05969371],[0.09702306 0.07530668 0.05975899 0.0482743  0.04010168 0.03376968],[0.00972439 0.01101992 0.01298386 0.01485713 0.01635158 0.01747229],[0.02598184 0.01523376 0.01155846 0.00988038 0.00876664 0.00845174]
418,[0.13721078 0.10099041 0.08397217 0.07275536 0.06476528 0.0587572 ],[0.09509482 0.07434057 0.0589161  0.04790468 0.03978725 0.03370182],[0.01225027 0.01290005 0.01432862 0.01570607 0.01681587 0.01761883],[0.0298657  0.01374979 0.01072745 0.0091446  0.00816215 0.00743654]
419,[0.15249245 0.11345701 0.0943497  0.0811873  0.07221269 0.06526765],[0.1091896  0.08388089 0.06659877 0.05369651 0.04467788 0.03767403],[0.01333634 0.01377875 0.01530543 0.01690965 0.01822577 0.01921583],[0.02996651 0.01579738 0.0124455  0.01058114 0.00930904 0.00837779]
420,[0.14785142 0.10877811 0.09066136 0.07924147 0.07209102 0.06498104],[0.10300454 0.0793554  0.06260406 0.05026163 0.04202393 0.03511951],[0.0147181  0.01535504 0.01704178 0.01867659 0.01992732 0.02086952],[0.03012879 0.01406768 0.01101551 0.01030324 0.01013978 0.00899201]
421,[0.15588603 0.11929639 0.10144611 0.08651441 0.07726263 0.06899974],[0.1091425  0.08571132 0.06952064 0.05673465 0.04772684 0.04035833],[0.01624795 0.01677463 0.01826941 0.01971784 0.02089365 0.02176883],[0.03049558 0.01681045 0.01365606 0.01006193 0.00864213 0.00687258]
422,[0.1424956  0.10779341 0.09147959 0.07948488 0.07190162 0.06397718],[0.10221177 0.08037366 0.06459644 0.05297129 0.04471415 0.03809182],[0.01493828 0.01519368 0.01631582 0.01755453 0.01848931 0.01926694],[0.02534555 0.01222606 0.01056733 0.00895906 0.00869816 0.00661842]
423,[0.13525334 0.09643011 0.08158913 0.07133135 0.06447335 0.05760511],[0.08876343 0.06882933 0.05469381 0.04468599 0.03734048 0.03155589],[0.01320392 0.01350145 0.01456558 0.01561314 0.01643429 0.01699422],[0.03328599 0.01409933 0.01232974 0.01103222 0.01069858 0.009055  ]
424,[0.13453378 0.09801406 0.08141472 0.07065126 0.06309551 0.05750807],[0.08685381 0.0670042  0.05248999 0.04227061 0.03480743 0.02931762],[0.01548617 0.01616364 0.01763002 0.01897932 0.02003856 0.02076094],[0.03219379 0.01484623 0.01129472 0.00940133 0.00824953 0.00742952]
425,[0.14611575 0.10627829 0.09004389 0.07942281 0.07207189 0.06920417],[0.09618367 0.07783393 0.06265302 0.05167315 0.04332297 0.03784488],[0.01329401 0.01426044 0.01597278 0.01749499 0.01870995 0.01949831],[0.03663807 0.01418392 0.0114181  0.01025467 0.01003898 0.01186098]
426,[0.14902577 0.1083115  0.09007055 0.0779848  0.06941583 0.06298909],[0.0992706  0.0792817  0.06262179 0.05151548 0.04268739 0.03646226],[0.01442802 0.01492987 0.01633458 0.01769123 0.01879309 0.01959032],[0.03532716 0.01409993 0.01111418 0.00877809 0.00793536 0.00693651]
427,[0.15216598 0.10558911 0.08658124 0.07589534 0.06955617 0.06346439],[0.09548785 0.07715119 0.06092746 0.05034456 0.04197307 0.03631123],[0.01210337 0.01260784 0.01423518 0.0156988  0.01699341 0.01782065],[0.04457476 0.01583009 0.0114186  0.00985197 0.01058969 0.00933251]
428,[0.13862813 0.10257013 0.08475162 0.0729679  0.06472116 0.05859794],[0.09738187 0.07483175 0.05881141 0.04735782 0.03903063 0.03268009],[0.01170193 0.0124558  0.01408911 0.01573457 0.01712144 0.01816178],[0.02954433 0.01528258 0.01185111 0.00987551 0.00856909 0.00775607]
429,[0.13776334 0.10051176 0.08275805 0.07029059 0.06181704 0.05557856],[0.08905307 0.06983859 0.05557114 0.04455409 0.03689322 0.03079592],[0.01167648 0.01204008 0.0132404  0.01466795 0.0158501  0.01682146],[0.0370338  0.01863309 0.01394652 0.01106855 0.00907372 0.00796117]
430,[0.14831864 0.1116481  0.09282606 0.08059578 0.07228657 0.06639026],[0.10910635 0.08554665 0.06774007 0.05504125 0.04584831 0.03889857],[0.0082412  0.00985851 0.01220292 0.01438171 0.01622192 0.01759399],[0.03097109 0.01624294 0.01288308 0.01117282 0.01021633 0.00989769]
431,[0.12287389 0.08532041 0.07102573 0.06217061 0.05593646 0.0514203 ],[0.07286582 0.05578837 0.04368224 0.03569612 0.02971133 0.02542135],[0.00924188 0.01001242 0.01145365 0.01280451 0.01391582 0.01473918],[0.04076619 0.01951962 0.01588985 0.01366999 0.01230932 0.01125978]
432,[0.13578508 0.09837851 0.08099016 0.06729507 0.06032915 0.05467114],[0.09117671 0.06947327 0.05467514 0.04330214 0.03537094 0.02980932],[0.00764098 0.00889028 0.01085156 0.01268834 0.01424913 0.01532553],[0.03696739 0.02001496 0.01546346 0.01130459 0.01070908 0.0095363 ]
433,[0.14335348 0.1006943  0.08263762 0.07050498 0.06241372 0.05649995],[0.09569175 0.07222944 0.05612105 0.04459575 0.03659172 0.03042865],[0.00883016 0.01012438 0.0121342  0.01403691 0.01561176 0.01682426],[0.03883157 0.01834048 0.01438237 0.01187232 0.01021023 0.00924703]
434,[0.13865481 0.10863745 0.09821202 0.07980653 0.07202188 0.06319615],[0.09138635 0.06992306 0.05815703 0.04632382 0.04042875 0.0335773 ],[0.01081114 0.01226995 0.01390937 0.01578299 0.0169709  0.01809702],[0.03645732 0.02644444 0.02614562 0.01769972 0.01462224 0.01152183]
435,[0.14242532 0.10968883 0.09270198 0.08335778 0.0777319  0.07075346],[0.10125688 0.0802887  0.06398859 0.05313221 0.04399214 0.03965809],[0.0110796  0.011823   0.01345245 0.01494432 0.01619535 0.01689486],[0.03008884 0.01757713 0.01526094 0.01528125 0.01754441 0.01420051]
436,[0.14712739 0.11335134 0.09808766 0.08646706 0.07828152 0.06808907],[0.10255214 0.0809756  0.06322263 0.05321169 0.0442055  0.03914135],[0.01203102 0.01297564 0.01508132 0.01661818 0.0182911  0.0192435 ],[0.03254423 0.0194001  0.01978371 0.0166372  0.01578491 0.00970422]
437,[0.14375563 0.11122799 0.09546138 0.08126535 0.07058198 0.0636547 ],[0.10232047 0.07928367 0.06208708 0.05168362 0.0422536  0.03600048],[0.01293998 0.01432857 0.01609597 0.01761183 0.01893047 0.01984049],[0.02849519 0.01761574 0.01727832 0.0119699  0.00939791 0.00781373]
438,[0.13815166 0.10389645 0.08813767 0.07864366 0.06798324 0.06221456],[0.09336512 0.0724703  0.05733987 0.04714747 0.03949786 0.03384224],[0.01089758 0.01249406 0.014677   0.01655183 0.01807659 0.01913353],[0.03388895 0.01893209 0.0161208  0.01494436 0.01040879 0.00923878]
439,[0.14417563 0.10775878 0.09119126 0.07683863 0.06855037 0.06235171],[0.10021295 0.07693201 0.06125455 0.04917673 0.04068103 0.03421665],[0.01115185 0.01255878 0.01461037 0.01658386 0.01814319 0.01930214],[0.03281084 0.01826799 0.01532634 0.01107804 0.00972615 0.00883292]
440,[0.13769099 0.10151102 0.08425433 0.07183814 0.06368561 0.05761884],[0.09328408 0.070737   0.05552431 0.04422617 0.03625029 0.03021385],[0.01239225 0.01301534 0.01452395 0.01603405 0.01732152 0.01828439],[0.03201467 0.01775868 0.01420608 0.01157793 0.0101138  0.00912059]
441,[0.15169239 0.10625293 0.08899192 0.07923558 0.07039754 0.06437345],[0.1028212  0.07734665 0.06093263 0.04939664 0.0411134  0.03517588],[0.01128546 0.01261463 0.0146494  0.01651152 0.01801821 0.0190393 ],[0.03758573 0.01629165 0.01340989 0.01332741 0.01126594 0.01015827]
442,[0.13638305 0.10474684 0.08770749 0.07606063 0.06788816 0.06179557],[0.09521061 0.07253104 0.0561218  0.04519162 0.03676657 0.03103935],[0.01230754 0.0135307  0.01543412 0.01712796 0.01850142 0.01948003],[0.02886489 0.01868509 0.01615156 0.01374105 0.01262016 0.01127619]
443,[0.14208305 0.10584692 0.08779713 0.07584096 0.06748521 0.06116284],[0.1027436  0.07862317 0.06239931 0.05024205 0.04174592 0.03508465],[0.00808467 0.0093014  0.01130524 0.0132763  0.0149417  0.0162494 ],[0.03125479 0.01792235 0.01409258 0.01232262 0.01079759 0.00982879]
444,[0.12502655 0.09069568 0.07501137 0.06304571 0.05537304 0.04958795],[0.0824227  0.06406171 0.0494054  0.03995181 0.03251711 0.02718544],[0.00854933 0.00917942 0.01040789 0.01154835 0.01253705 0.01326162],[0.03405452 0.01745456 0.01519807 0.01154555 0.01031888 0.00914088]
445,[0.14714358 0.10821981 0.09137409 0.07902249 0.07156169 0.06602528],[0.09466948 0.07702619 0.06328506 0.05174522 0.04419693 0.03712433],[0.00937998 0.01055998 0.01248143 0.01435631 0.01583105 0.01709832],[0.04309411 0.02063364 0.0156076  0.01292096 0.01153371 0.01180263]
446,[0.14592125 0.10958719 0.09223093 0.07918487 0.07103701 0.0647884 ],[0.10518435 0.08120266 0.06426724 0.05218979 0.04332317 0.03712175],[0.00843983 0.01021932 0.01245146 0.01458335 0.01631582 0.01768899],[0.03229707 0.01816521 0.01551223 0.01241172 0.01139802 0.00997766]
447,[0.15364953 0.11526151 0.09716612 0.08532817 0.07741732 0.07110486],[0.10271212 0.08130635 0.06547807 0.05350454 0.04524892 0.03840518],[0.01036734 0.01244798 0.01528932 0.01784257 0.01990178 0.02147656],[0.04057007 0.02150718 0.01639872 0.01398107 0.01226662 0.01122312]
448,[0.15160178 0.11399737 0.09489015 0.08228307 0.07333443 0.06659197],[0.112877   0.08832778 0.06971623 0.0565893  0.04655697 0.03953028],[0.00749381 0.00907455 0.01144923 0.01376594 0.01570032 0.01724109],[0.03123097 0.01659504 0.01372469 0.01192783 0.01107714 0.0098206 ]
449,[0.14662915 0.10950887 0.09342243 0.08245872 0.07054795 0.06415577],[0.09804915 0.07893805 0.06047621 0.05174919 0.04184095 0.0366064 ],[0.00819933 0.00988536 0.01210751 0.01408528 0.01577067 0.01708086],[0.04038067 0.02068546 0.0208387  0.01662424 0.01293633 0.01046852]
450,[0.13138227 0.103314   0.08655925 0.07490489 0.06648022 0.06006804],[0.09672388 0.07551693 0.06069205 0.04917679 0.04093299 0.03428266],[0.00815854 0.00921163 0.01080523 0.01238838 0.01378958 0.01491979],[0.02649985 0.01858544 0.01506197 0.01333972 0.01175765 0.0108656 ]
451,[0.15122259 0.1121052  0.09218748 0.08047996 0.07339993 0.06797886],[0.10817555 0.08372748 0.0653764  0.05307821 0.04299338 0.03781225],[0.00819984 0.00984492 0.01234903 0.01470369 0.01663702 0.01806495],[0.03484721 0.01853279 0.01446205 0.01269807 0.01376954 0.01210166]
452,[0.1324148  0.09804534 0.08043865 0.06906416 0.06198198 0.05663668],[0.09487891 0.07280558 0.05639634 0.04538424 0.03659233 0.03135808],[0.00872285 0.00962461 0.01129734 0.01296014 0.01437582 0.0154299 ],[0.02881304 0.01561515 0.01274498 0.01071977 0.01101383 0.00984869]
453,[0.1395112  0.1108573  0.09330925 0.08124069 0.07277489 0.06678811],[0.10602378 0.08276054 0.06613689 0.05384474 0.04486072 0.03780131],[0.00912303 0.01079954 0.01287008 0.01482018 0.01647401 0.01774199],[0.02436439 0.01729722 0.01430228 0.01257576 0.01144016 0.01124481]
454,[0.12144921 0.09437549 0.07934172 0.0689187  0.06132859 0.05562693],[0.0893345  0.06939051 0.0551246  0.04460033 0.0366563  0.03084001],[0.00875082 0.01016562 0.01189587 0.01355097 0.0149547  0.01606749],[0.0233639  0.01481936 0.01232125 0.0107674  0.00971759 0.00871943]
455,[0.12337047 0.0960928  0.08092852 0.07030365 0.06312188 0.05736063],[0.08824428 0.06865097 0.05461449 0.04487688 0.03751053 0.03216885],[0.00922399 0.01070297 0.01257001 0.01416006 0.01558737 0.01657726],[0.0259022  0.01673885 0.01374402 0.01126671 0.01002398 0.00861452]
456,[0.13208895 0.09734717 0.08184873 0.07143496 0.06400785 0.05844443],[0.09097623 0.07079786 0.05622436 0.04579376 0.03812057 0.03238537],[0.01036641 0.01164648 0.01346411 0.01515078 0.01654233 0.01758851],[0.0307463  0.01490283 0.01216026 0.01049041 0.00934495 0.00847055]
457,[0.15369201 0.11868292 0.09932252 0.08596383 0.07636149 0.06906089],[0.11230544 0.08975188 0.07211392 0.05953341 0.0495861  0.04240544],[0.01155977 0.01290677 0.01477842 0.01661543 0.01811102 0.01927319],[0.0298268  0.01602427 0.01243018 0.00981499 0.00866437 0.00738227]
458,[0.13971049 0.11102634 0.09359635 0.0814832  0.07265483 0.06604768],[0.10480855 0.08318612 0.06656275 0.05402626 0.04493071 0.03784232],[0.01360472 0.01459276 0.01617096 0.01761929 0.01883834 0.01969864],[0.02129722 0.01324746 0.01086263 0.00983766 0.00888578 0.00850672]
459,[0.15445496 0.11692806 0.09891123 0.08685108 0.07804591 0.07133545],[0.10463565 0.08395743 0.06723173 0.0552203  0.04612698 0.03920986],[0.01440609 0.01560957 0.01741837 0.01914352 0.02047997 0.02151505],[0.03541322 0.01736106 0.01426113 0.01248727 0.01143896 0.01061055]
460,[0.15847863 0.12350066 0.10504736 0.09208727 0.08262434 0.07546233],[0.11309964 0.09124294 0.07394725 0.06141672 0.05168598 0.04441407],[0.01236797 0.01375859 0.01569771 0.01755516 0.01910086 0.02029871],[0.03301102 0.01849913 0.0154024  0.0131154  0.0118375  0.01074956]
461,[0.14502    0.10515158 0.08529305 0.07370662 0.06535609 0.05960805],[0.09698196 0.07628469 0.06064156 0.04948755 0.04069543 0.03464564],[0.00974977 0.01064944 0.01207221 0.01345632 0.01462891 0.01551111],[0.03828827 0.01821745 0.01257929 0.01076276 0.01003175 0.00945131]
462,[0.15864797 0.12434835 0.10344951 0.09072051 0.07943356 0.07225065],[0.10766783 0.08743909 0.07212375 0.0597299  0.05099804 0.04334981],[0.01129009 0.01267101 0.01465721 0.01665111 0.01822749 0.01952666],[0.03969005 0.02423824 0.01666855 0.0143395  0.01020802 0.00937418]
463,[0.12877837 0.09684297 0.08111845 0.0693248  0.06150529 0.05528138],[0.09258743 0.07138408 0.0559177  0.04500307 0.03670418 0.03065412],[0.00887634 0.00997454 0.01157397 0.01304731 0.01434778 0.01530884],[0.0273146  0.01548434 0.01362678 0.01127442 0.01045333 0.00931841]
464,[0.140284   0.09808144 0.07977936 0.06729753 0.05912773 0.05294638],[0.08781259 0.06971606 0.05403503 0.04462008 0.03626484 0.03105206],[0.01013339 0.01070493 0.01186372 0.01317609 0.01419128 0.01501208],[0.04233802 0.01766046 0.01388061 0.00950137 0.00867162 0.00688223]
465,[0.12833185 0.09908314 0.0833127  0.07258579 0.06512006 0.05969526],[0.08977909 0.0703679  0.05632846 0.04623427 0.03858903 0.03308837],[0.0091367  0.01061288 0.01246842 0.01423953 0.01565642 0.01678709],[0.02941606 0.01810235 0.01451582 0.01211198 0.01087461 0.00981979]
466,[0.14636137 0.10709114 0.08903577 0.07693993 0.06826891 0.06184929],[0.09709584 0.0768639  0.06136985 0.05006108 0.04142196 0.03507284],[0.0093414  0.01078524 0.01263012 0.0143814  0.01582173 0.01693916],[0.03992414 0.01944199 0.0150358  0.01249745 0.01102521 0.00983729]
467,[0.13479883 0.10727308 0.09111527 0.07822278 0.06946334 0.0629518 ],[0.0990313  0.07797375 0.06335421 0.05175524 0.04366576 0.03709147],[0.00973359 0.01107595 0.01275494 0.0143703  0.01573421 0.01679945],[0.02603394 0.01822339 0.01500611 0.01209724 0.01006337 0.00906088]
468,[0.14295292 0.10642125 0.09102379 0.08243474 0.06855905 0.06209663],[0.09958825 0.07889642 0.06243033 0.05179088 0.04235954 0.03587272],[0.00966165 0.01075424 0.01254556 0.01424777 0.01572647 0.01696157],[0.03370302 0.01677059 0.0160479  0.0163961  0.01047304 0.00926234]
469,[0.13370426 0.10442388 0.08927682 0.07454273 0.06643123 0.06032954],[0.09219758 0.07309491 0.05921803 0.04812606 0.04025324 0.03410837],[0.0090031  0.01040845 0.01224773 0.01397561 0.01546809 0.01664096],[0.03250358 0.02092051 0.01781106 0.01244106 0.0107099  0.0095802 ]
470,[0.15553546 0.11406064 0.09566766 0.08165819 0.07255281 0.06610467],[0.10872964 0.08519178 0.06844216 0.05600358 0.04658084 0.03980649],[0.00869869 0.01069934 0.01305216 0.01521553 0.01693582 0.01821402],[0.03810713 0.01816952 0.01417334 0.01043907 0.00903615 0.00808416]
471,[0.15672365 0.10986152 0.09165641 0.08012704 0.07183341 0.06369088],[0.10179866 0.08049766 0.06385341 0.05264003 0.04342547 0.03768941],[0.01072062 0.01148441 0.01309172 0.01452592 0.01578301 0.01657961],[0.04420438 0.01787946 0.01471128 0.01296109 0.01262493 0.00942186]
