,inner_loss,inner_loss_b,inner_loss_f
27,[8.30877638 4.25388609 2.90586398 2.44511547 2.14969447 1.84759289],[0.81282855 0.40781179 0.27336086 0.22755843 0.19827443 0.16834364],[0.18049088 0.17576818 0.17225543 0.16953113 0.16695018 0.16415645]
28,[8.32833586 4.10137578 2.70734464 2.24048464 1.94090732 1.63358776],[0.81261612 0.39042916 0.2514596  0.20518438 0.17569399 0.14554101],[0.20217467 0.19708413 0.19274866 0.18864082 0.18396737 0.17817765]
29,[8.03572947 4.24809537 2.98534819 2.5366067  2.23245447 1.91735364],[0.77372427 0.39566872 0.26996256 0.22560883 0.19579616 0.16508372],[0.29848683 0.29140812 0.28572257 0.28051844 0.2744929  0.26651647]
30,[8.01209599 4.0981869  2.80970786 2.36364548 2.06232945 1.7495765 ],[0.7763676  0.38558826 0.25724802 0.21312441 0.1835672  0.15305198],[0.24842002 0.2423043  0.23722763 0.23240136 0.22665748 0.21905668]
31,[8.3163889  4.17392058 2.82274765 2.36693432 2.06277167 1.74762367],[0.8131006  0.3993565  0.26464075 0.21941476 0.18939167 0.1583692 ],[0.18538286 0.18035558 0.17634015 0.17278675 0.168855   0.16393166]
32,[7.72477089 3.88386675 2.62513007 2.20020713 1.92239958 1.64028978],[0.75138615 0.3678291  0.24237224 0.20022907 0.172803   0.14499416],[0.21090943 0.20557574 0.20140771 0.19791642 0.19436957 0.19034816]
33,[8.05881932 3.95450926 2.62448666 2.1859454  1.89811857 1.60423959],[0.78923271 0.37914176 0.24638713 0.20272102 0.17411029 0.14489634],[0.16649223 0.16309163 0.16061534 0.15873517 0.15701571 0.15527618]
34,[7.73093018 3.74418543 2.46737274 2.05769912 1.79562413 1.52786725],[0.75506913 0.35693034 0.22964986 0.18899561 0.16309434 0.13666581],[0.18023894 0.17488203 0.17087412 0.16774303 0.16468076 0.16120912]
35,[7.37869005 3.53244905 2.30692575 1.92293466 1.68635156 1.45000483],[0.71644212 0.3323915  0.21026262 0.17219618 0.14886107 0.1255834 ],[0.21426883 0.20853404 0.20429953 0.20097287 0.19774087 0.19417082]
36,[7.98236783 4.14008734 2.89999942 2.46323392 2.14500265 1.80661964],[0.77657099 0.39287603 0.26926527 0.22593337 0.19450647 0.16118924],[0.21665794 0.21132697 0.20734677 0.20390018 0.19993793 0.19472721]
37,[7.74610374 3.93729884 2.7081642  2.27136357 1.94584497 1.59802883],[0.75403326 0.37375465 0.25137217 0.20823779 0.17637747 0.14252875],[0.20577115 0.19975226 0.19444253 0.18898568 0.18207028 0.17274137]
