,inner_loss,inner_loss_b,inner_loss_f
1195,[97.61890774 18.86179739 47.88695568 54.88692544 19.96795024 28.46695573],[9.74801752 1.86803637 4.77258354 5.46868541 1.98017942 2.8284729 ],[0.13873191 0.18143376 0.16112061 0.20007146 0.16615606 0.1822266 ]
1196,"[102.37483345  17.0425168   46.30037738  47.72241361  20.72685566
  50.51924457]",[10.22194849  1.68304803  4.61056613  4.75052474  2.05390049  5.02907058],[0.15534847 0.21203664 0.194716   0.21716612 0.18785078 0.22853806]
1197,[99.42393379 17.59478441 45.09801134 45.28148047 19.40887427 26.61523141],[9.92893242 1.74084529 4.49294973 4.50811155 1.92318227 2.64268122],[0.13460949 0.18633155 0.1685136  0.20036518 0.17705155 0.18841945]
1198,"[101.92028091  15.21721146  36.38666187  43.32279806  15.32806405
  21.54838428]",[10.17539171  1.50292143  3.62182113  4.31129657  1.51571757  2.13498214],[0.166364   0.18799721 0.16845027 0.2098326  0.17088824 0.1985628 ]
1199,"[100.38393978  17.76334892  47.96003564  50.65086566  25.29433039
  52.59806728]",[10.02356432  1.75870758  4.78014986  5.04505723  2.51437193  5.24120833],[0.14829643 0.17627302 0.15853704 0.20029274 0.15061086 0.18598352]
1200,[99.79841232 18.44601224 53.66130608 64.53177695 25.24156294 38.81925797],[9.96068294 1.82161345 5.3452559  6.42966975 2.50340155 3.85746292],[0.19158293 0.22987763 0.2087467  0.23507948 0.20754766 0.24462848]
1201,"[103.06835838  14.28301958  34.24573815  36.80144562  17.05483509
  23.46843358]",[10.28874797  1.40629579  3.40436677  3.65854978  1.68399518  2.32374205],[0.18087892 0.22006172 0.20207025 0.21594782 0.21488339 0.23101321]
1202,"[101.5689093   16.07699021  41.31630334  40.68291031  22.75764842
  31.0240928 ]",[10.14195734  1.58566363  4.11222785  4.04470657  2.25671749  3.079139  ],[0.1493358  0.22035399 0.19402508 0.23584475 0.19047349 0.23270264]
1203,"[101.89182434  14.30380408  34.61032035  39.45747269  15.99739083
  22.53986128]",[10.17494768  1.41188407  3.44410736  3.92579664  1.58129082  2.2344572 ],[0.14234785 0.1849633  0.16924633 0.19950651 0.18448255 0.19528958]
1204,"[107.18742142  12.2026734   28.45879522  36.87371124  23.61850987
  22.56496479]",[10.70046267  1.19742036  2.8251704   3.66241243  2.34166866  2.23283149],[0.18279489 0.22846984 0.20709159 0.24958703 0.20182322 0.23665005]
1205,"[104.32152458  15.39942426  42.83976563  42.99343314  19.51764728
  32.95410134]",[10.41714029  1.5197736   4.26550459  4.27766583  1.93242702  3.27517524],[0.15012196 0.20168828 0.18471981 0.21677505 0.19337699 0.20234946]
1206,"[103.69178608  16.02198285  44.42411571  40.24855789  26.23801866
  40.25110972]",[10.35072238  1.57742948  4.4200897   3.99868163  2.60197042  3.99879729],[0.18456279 0.24768806 0.22321887 0.26174214 0.21831448 0.26313645]
1207,"[103.79335937  13.8889026   34.82958857  36.70140235  24.23882847
  29.12532198]",[10.36559664  1.3695933   3.46565071  3.64811651  2.40745265  2.89216575],[0.13739284 0.19296959 0.17308151 0.22023748 0.1643023  0.20366427]
1208,"[103.50658676  14.80864459  40.39348736  34.09627242  24.52526698
  33.55180236]",[10.33467712  1.4597647   4.02039055  3.38713009  2.43208841  3.33380314],[0.15981527 0.21099764 0.18958229 0.22497117 0.204383   0.21377069]
1209,"[101.88670998  15.73951308  41.14107381  39.11827213  22.68997545
  27.58458366]",[10.17233213  1.55313272  4.09530611  3.89030727  2.24936567  2.73669091],[0.16338811 0.20818586 0.18801298 0.21519959 0.19631909 0.21767442]
1210,"[103.68177872  15.30932435  42.74419031  42.13379979  29.51237633
  37.72741911]",[10.34932258  1.50716649  4.25281468  4.18982602  2.92831517  3.74787792],[0.18855308 0.23765934 0.21604384 0.23553945 0.22922463 0.24863978]
1211,"[100.91988239  15.70532792  40.12492915  43.51595731  21.41428524
  26.0216609 ]",[10.076       1.55027485  3.99420613  4.32964833  2.12128449  2.58149318],[0.15988306 0.20257936 0.18286806 0.21947412 0.20144056 0.20672887]
1212,"[101.70255848  15.89687932  45.30234284  40.79407928  22.32188513
  44.76140698]",[10.15399643  1.56877922  4.51142215  4.05731296  2.21234027  4.45503373],[0.16259403 0.20908712 0.18812108 0.2209495  0.19848236 0.21107003]
1213,"[100.47776382  16.6016356   45.39501756  39.62290335  23.81071093
  34.85007849]",[10.02807907  1.63626704  4.51764989  3.93857419  2.3571036   3.46046575],[0.19697294 0.23896499 0.21851836 0.23716119 0.23967512 0.24542138]
1214,"[101.09267952  17.07073403  46.0198462   43.19403467  29.82746557
  29.69190895]",[10.09044847  1.68467922  4.58112607  4.29738095  2.96184589  2.94554508],[0.18819549 0.22394192 0.20858555 0.22022547 0.2090069  0.23645799]
1215,"[102.9729908   16.05057456  42.62413255  35.74222568  26.11362962
  36.55983712]",[10.27951726  1.58054468  4.24005131  3.54741874  2.58715272  3.63051773],[0.17781825 0.24512777 0.22361892 0.26803832 0.24210229 0.25465986]
1216,[99.31649376 16.12957235 41.41375313 46.79867182 24.43930507 26.93584401],[9.91571579 1.59261308 4.12307593 4.65732284 2.42437666 2.67368198],[0.15933534 0.20344158 0.18299371 0.22544325 0.19553825 0.19902445]
1217,"[104.15963577  13.3737404   30.95903195  29.38243751  16.95277876
  18.69729367]",[10.39926978  1.31694707  3.07714392  2.91650497  1.67647227  1.84974199],[0.16693781 0.20426968 0.18759257 0.21738759 0.1880561  0.19987375]
1218,"[101.02249481  14.78900605  35.94485448  34.16139366  17.46078204
  20.06291265]",[10.09104511  1.46405473  3.58164046  3.39893261  1.73258661  1.99055518],[0.11204371 0.14845876 0.12844981 0.17206787 0.13491576 0.15736076]
1219,[96.89736725 19.03033072 48.83029935 29.40323877 15.66034679 24.8603981 ],[9.67717489 1.88758299 4.86939677 2.92466812 1.55155961 2.46890701],[0.12561809 0.15450092 0.13633138 0.15655738 0.14475061 0.17132807]
1220,"[101.57204491  14.58783589  34.73823966  34.42443078  15.32322423
  19.72663365]",[10.14178368  1.4387106   3.45612512  3.41936585  1.51366527  1.95104686],[0.15420823 0.2007298  0.17698862 0.23077189 0.1865715  0.21616503]
1221,"[101.04340191  16.56229545  42.36631495  34.62984963  22.75774904
  23.38333291]",[10.08857804  1.63601494  4.21876039  3.44047217  2.25929872  2.31762906],[0.15762142 0.2021459  0.17871095 0.22512825 0.16476192 0.20704221]
1222,"[101.19615654  13.62009597  30.62111626  22.2808802   13.04748281
  13.75610948]",[10.10769218  1.34691245  3.04858054  2.21148043  1.29157431  1.35935662],[0.11923414 0.15097156 0.1353106  0.16607567 0.13173968 0.16254341]
1223,[99.15125778 17.92669706 46.43203523 30.1089347  17.50257679 22.4378822 ],[9.90082019 1.77292946 4.62594059 2.98815981 1.73361699 2.22244816],[0.14305517 0.19740264 0.17262913 0.22733638 0.16640696 0.2134004 ]
1224,"[103.6312978   14.04427032  33.17743047  28.15520033  15.37082855
  19.991214  ]",[10.34774961  1.38558468  3.30164602  2.7935534   1.52087091  1.9783317 ],[0.15380181 0.18842358 0.16097024 0.2196661  0.16211938 0.20789713]
1225,"[100.96217861  15.03386835  33.94860719  19.0869441   14.73853203
  16.33883049]",[10.08162283  1.48687556  3.37966275  1.89249631  1.45866703  1.61648894],[0.14595002 0.16511278 0.1519795  0.16198119 0.15186167 0.1739413 ]
1226,[99.67611103 16.11354976 38.83622387 27.48762878 14.51848087 18.51628258],[9.95114185 1.59177528 3.86596206 2.7281308  1.43355602 1.83098238],[0.16469216 0.19579698 0.1766036  0.20632094 0.18292056 0.20645884]
1227,[97.6115757  17.64076533 43.46456647 33.89632776 16.71568104 18.37648575],[9.74568277 1.7427803  4.32797631 3.36687389 1.65151896 1.8154772 ],[0.15474782 0.21296219 0.1848036  0.2275892  0.20049149 0.22171376]
1228,"[101.60373745  14.46731644  31.5702517   21.71663091  14.28534482
  16.16766039]",[10.14103257  1.42303581  3.13656087  2.14758919  1.40907485  1.59092892],[0.1934114  0.23695824 0.20464341 0.24073914 0.19459637 0.25837113]
1229,"[101.47345722  16.47307033  37.96517159  22.40506318  12.88155599
  14.43235465]",[10.1312459   1.62846893  3.78031365  2.22257681  1.2716564   1.42398932],[0.16099771 0.18838108 0.16203506 0.17929519 0.16499186 0.19246144]
1230,[98.97291695 18.97307927 45.05419687 25.9530106  16.49847445 17.96063934],[9.88236444 1.87676297 4.48807281 2.57374981 1.6328338  1.7750489 ],[0.14927254 0.20544965 0.17346892 0.21551251 0.17013621 0.21015047]
1231,[99.89751938 18.21284312 42.65584786 22.96534813 12.38689506 13.30520004],[9.97308603 1.80047961 4.24807775 2.27480832 1.22150824 1.30936396],[0.16665843 0.20804722 0.17507026 0.21726506 0.17181268 0.21156047]
1232,[97.33076855 19.43752915 43.47848587 25.78549167 11.77607646 16.89599516],[9.71999536 1.92463788 4.33137865 2.55905621 1.16132276 1.67136088],[0.13081486 0.19115029 0.16469941 0.19492918 0.16284895 0.1823864 ]
1233,"[101.13674149  16.18275599  36.53076559  21.30218657  14.98054374
  15.86203575]",[10.09637738  1.59528466  3.6332577   2.10789949  1.4784849   1.56261486],[0.17296769 0.22990942 0.1981886  0.22319154 0.19569463 0.23588705]
1234,"[101.30266682  15.63983999  31.76093801  20.58069228   9.95067466
  10.94363338]",[10.11646178  1.54567615  3.16057922  2.03752813  0.97959989  1.07627321],[0.13804874 0.1830784  0.15514623 0.20541089 0.1546758  0.18090129]
1235,[99.09695023 19.44400873 45.66843889 22.81488828 10.68444151 16.49256058],[9.89301809 1.9213207  4.54680334 2.25972151 1.04816788 1.62649767],[0.16676905 0.23080154 0.20040665 0.21767349 0.20276263 0.2275839 ]
1236,[97.99151447 17.38098845 35.29896299 23.68644585 10.1699847  12.24499108],[9.78213231 1.71511194 3.50985377 2.34299886 0.9981666  1.20159845],[0.17019128 0.2298692  0.2004252  0.25645765 0.18831881 0.22900661]
1237,"[102.97481461  15.64814501  31.91567345  20.76094515   8.97695987
  13.1092521 ]",[10.28190165  1.54425274  3.17384741  2.05504482  0.87953591  1.29148655],[0.1557978  0.2056176  0.1771996  0.21049719 0.18160071 0.19438646]
1238,[99.05561653 18.62880052 41.53160956 16.09095147 10.63408616 17.8850251 ],[9.89075157 1.84238146 4.13630681 1.59054722 1.04566491 1.7702591 ],[0.14810086 0.20498582 0.16854176 0.1854793  0.17743695 0.18243431]
1239,[99.5231237  18.81485695 36.8454821  17.68745657  9.38583105 12.0356977 ],[9.93657286 1.86153362 3.66745771 1.74661881 0.92129047 1.18430753],[0.15739521 0.19952065 0.17090526 0.22126853 0.17292628 0.19262251]
1240,[99.86496304 17.85937184 37.0172069  20.33777161 10.70813146 12.67189274],[9.97199035 1.76741612 3.68623413 2.01448826 1.05652418 1.249104  ],[0.14505971 0.18521047 0.15486562 0.19288895 0.1428897  0.18085259]
1241,[98.98785404 19.09525966 36.47884262 16.66301323  7.93263202  8.3003726 ],[9.88245472 1.89075105 3.63157093 1.64612681 0.77719794 0.81207105],[0.16330652 0.1877492  0.16313343 0.20174517 0.16065255 0.17966206]
1242,"[101.17318733  16.0274648   28.60051669  14.6222775    7.61315571
   8.04116084]",[10.10164076  1.58519804  2.84481675  1.44594611  0.74593153  0.78707229],[0.15677933 0.17548432 0.15234917 0.16281639 0.15384053 0.17043777]
1243,[95.64719746 20.72138243 39.57019371 17.4596023  10.55628537  8.61737458],[9.55063975 2.05411131 3.94228605 1.72703494 1.04130179 0.84442872],[0.14080016 0.18026955 0.14733302 0.18925299 0.14326757 0.17308735]
1244,[98.12638065 19.59185697 37.82759393 16.78949882  8.04031224  9.07650467],[9.79577835 1.9375525  3.76553407 1.65715149 0.78565797 0.88773085],[0.16859695 0.21633184 0.17225316 0.21798397 0.18373251 0.19919612]
1245,[97.61500526 20.33485946 38.79975719 15.4084385   9.70441196 11.72873022],[9.74485678 2.01076795 3.86110281 1.51783557 0.95119159 1.15113658],[0.16643734 0.22718008 0.18872904 0.23008279 0.19249609 0.21736447]
1246,[95.5000219  21.66420763 38.98186461 20.55111984  7.57937304  6.23018809],[9.53581621 2.14637416 3.88323976 2.03370783 0.7404397  0.60545767],[0.14185955 0.20046613 0.14946654 0.21404181 0.17497599 0.17561128]
1247,[98.94848103 21.85395877 41.86131808 16.01395984  8.47893049  8.33931912],[9.87687749 2.16421488 4.16914772 1.58125771 0.83028179 0.81411192],[0.17970571 0.21181013 0.16984124 0.20138288 0.17611257 0.19819983]
1248,"[101.01431103  19.51920776  38.19267555  20.28634575   8.9883964
   9.31926084]",[10.07885886  1.92249317  3.79404151  1.99812378  0.87240425  0.90422921],[0.22572233 0.294276   0.25226075 0.30510805 0.26435369 0.27696868]
1249,[95.3715538  21.97171196 37.04753813 10.070299    6.49770599  6.46264154],[9.52301776 2.18041062 3.69016449 0.99173994 0.63547243 0.63141468],[0.14137671 0.16760601 0.14589307 0.15289964 0.14298179 0.14849465]
1250,[98.22591045 21.07735855 37.6948955  16.76380492  8.17253682  6.11431008],[9.80638804 2.08455069 3.75080016 1.6526077  0.79722233 0.59028085],[0.16202994 0.23185179 0.18689401 0.23772798 0.20031341 0.2115016 ]
1251,[97.01177105 21.06127897 36.41658048 18.64756482  7.13613429  5.86341946],[9.68592552 2.08489023 3.62426853 1.84067195 0.69555108 0.5666076 ],[0.15251632 0.21237674 0.17389519 0.24084512 0.18062349 0.1973435 ]
1252,"[101.53654205  17.47611449  31.58466379  14.09654113   7.72391282
   7.88856093]",[10.13535686  1.72388757  3.13834057  1.38532713  0.75175449  0.76695404],[0.18297382 0.23723886 0.2012581  0.24326979 0.20636801 0.21902053]
1253,[95.55290688 21.66249986 34.67803981 17.38698367  6.33386387  5.34733675],[9.53997752 2.14479035 3.45011351 1.71528435 0.61559759 0.51477073],[0.15313203 0.21459601 0.17690479 0.23414001 0.17788792 0.19962942]
1254,[96.77594753 23.60726383 44.14767362 18.78066155  8.45502659  6.73381054],[9.65783525 2.33502286 4.39249785 1.85223447 0.82388546 0.64992078],[0.19759505 0.25703546 0.22269545 0.25831682 0.21617205 0.23460279]
1255,"[100.3753529   19.64412883  33.2501057   17.38445503   7.57897928
   6.50253852]",[10.01841949  1.93773512  3.30277427  1.7107596   0.73556799  0.6255211 ],[0.19115835 0.26677746 0.22236259 0.27685913 0.22329936 0.24732751]
1256,[99.12691017 20.26870723 36.78948853 12.46699093  7.62622995  7.32551735],[9.8959106  2.00557656 3.66218488 1.22553658 0.745007   0.71342651],[0.16780402 0.21294162 0.16763972 0.21162503 0.17615995 0.1912522 ]
1257,"[100.137962    16.56688832  25.32367946  12.35257023   6.63348012
   4.89311358]",[9.99860113 1.6377037  2.51696537 1.2161237  0.64754407 0.47166425],[0.15195109 0.18985136 0.15402554 0.19133307 0.15803947 0.17647113]
1258,[95.10925343 24.89886726 45.98909348 15.97721678  7.71940864  7.16785893],[9.49842424 2.47001809 4.58436677 1.57881    0.75585298 0.6998392 ],[0.12501142 0.19868615 0.14542546 0.1891168  0.16087888 0.16946699]
1259,[97.42190571 21.51911292 34.76808526 14.32421345  7.44649341  6.03852305],[9.72557512 2.12924656 3.45867558 1.40899758 0.72536023 0.58362756],[0.16615446 0.22664726 0.18132938 0.2342377  0.19289108 0.2022474 ]
1260,[97.25344723 23.37912572 40.86979048 17.80005234  7.79132055  6.96907342],[9.70513549 2.309224   4.06403261 1.75077157 0.75514009 0.66999968],[0.20209255 0.2868856  0.22946443 0.29233642 0.23991965 0.26907652]
1261,[94.93651535 24.22290411 43.62281625 14.48514518  8.20603095  9.18824332],[9.47784513 2.4000068  4.34599391 1.42551339 0.80213567 0.8984156 ],[0.15806476 0.22283623 0.16287738 0.23001115 0.1846741  0.20408732]
1262,[97.52512974 22.30645876 36.63513297 11.11930364  6.62855843  5.23198767],[9.73635115 2.20950777 3.64617444 1.0910502  0.64455783 0.50448601],[0.16161848 0.21138129 0.17338862 0.20880148 0.18298004 0.18712759]
1263,[96.90580261 22.68257916 39.04023105 12.68017234  8.32774893  7.24036268],[9.67222856 2.24652073 3.88604663 1.24675432 0.81406388 0.70452623],[0.18351674 0.21737191 0.17976473 0.21262912 0.18711008 0.19510045]
1264,[96.15689022 21.47637096 33.11892189 12.48669382  7.93542895  5.32952223],[9.60275467 2.13068535 3.29773235 1.2306995  0.77967232 0.51782003],[0.12934362 0.16951751 0.14159861 0.17969889 0.13870577 0.15132193]
1265,[96.66236721 21.97589868 35.38794399 12.31811605  7.7416264   7.01202531],[9.65262521 2.17803318 3.52381458 1.21191089 0.75807919 0.68410859],[0.13611513 0.19556696 0.14979861 0.19900722 0.16083447 0.17093939]
1266,[95.92933315 23.49150106 37.88412857 10.71593055  6.73797578  6.09077965],[9.57681587 2.32871306 3.77157724 1.05242798 0.65571101 0.59153535],[0.16117438 0.2043707  0.16835619 0.19165066 0.18086574 0.17542609]
1267,[97.92878864 22.25181741 33.60693515 11.68298629  4.99413675  4.86552489],[9.77525876 2.20181516 3.34159246 1.14458912 0.47966676 0.46542476],[0.17620114 0.23366578 0.19101028 0.23709508 0.19746919 0.21127735]
1268,[96.21711391 22.83517307 34.68412249 10.86980431  6.93616299  4.51915224],[9.60711733 2.2643393  3.45371198 1.06807206 0.67841072 0.43511996],[0.14594104 0.19177996 0.14700266 0.18908371 0.15205573 0.16795261]
1269,[96.49735638 23.36021846 37.1020572  12.43332817  6.57460354  5.9376361 ],[9.63352594 2.31361948 3.69224287 1.22110122 0.63888258 0.57376573],[0.16209675 0.22402352 0.17962822 0.22231597 0.18577773 0.19997873]
1270,[97.6139053  21.62496701 31.92502755 11.73893514  4.68727708  5.06326009],[9.74574689 2.14232412 3.17473809 1.15325455 0.45141928 0.48855086],[0.15643615 0.20172604 0.1776467  0.20638954 0.17308431 0.17775147]
1271,[98.09683159 21.80388353 35.53599459 12.84849333  5.4246777   5.84474804],[9.79376095 2.15877193 3.53723181 1.26282252 0.52436967 0.56598604],[0.15922226 0.21616411 0.16367677 0.22026813 0.18098103 0.18488762]
1272,[97.78123047 23.22887461 40.81745641 16.26822073  6.90032223  8.76612512],[9.75760908 2.29934272 4.06345421 1.60319978 0.66995716 0.85690767],[0.20513926 0.23544745 0.18291416 0.23622314 0.20075063 0.19704839]
1273,[97.55375645 23.19486514 37.8098877   9.55193467  5.98590828  6.87096192],[9.74022502 2.299342   3.76555584 0.93649355 0.58185589 0.67058335],[0.15150667 0.20144514 0.15432923 0.18699909 0.16734941 0.16512823]
1274,[94.48035374 27.8351458  45.32950571 11.69902674  6.22901281  8.97117113],[9.42901338 2.75943072 4.51276469 1.14642889 0.60191026 0.87663677],[0.1902198  0.24083861 0.2018587  0.23473774 0.20991018 0.20480319]
1275,[95.2890303  25.33043205 39.4621118   9.26938728  4.49633527  6.66807497],[9.51445364 2.5146291  3.93130994 0.91003023 0.43465931 0.65075924],[0.14449414 0.18414095 0.14901287 0.16908496 0.14974221 0.16048258]
1276,[93.04535545 30.56997161 55.2566696   8.59474958  6.27650709 14.19166066],[9.2861824  3.03360394 5.5061453  0.83846687 0.60782858 1.4001351 ],[0.18353156 0.23393211 0.19521677 0.21008083 0.1982213  0.1903097 ]
1277,[95.24903236 26.37638996 39.94410338 12.63869806  6.40671365  5.70173687],[9.50963443 2.61548217 3.97701607 1.24188037 0.6219384  0.55123082],[0.15268791 0.22156833 0.17394289 0.2198944  0.1873297  0.18942867]
1278,[93.97668896 28.36537356 51.71143825 13.40331364  8.11645505 11.45919356],[9.38006322 2.80839306 5.15013908 1.31247795 0.7880508  1.12207836],[0.17605696 0.28144282 0.21004728 0.27853421 0.23594708 0.23841011]
1279,[95.48862015 26.04021599 41.31482845 13.25885038  5.90024665  5.32772323],[9.53328296 2.58250326 4.11516259 1.30343195 0.57279321 0.51415309],[0.15579114 0.21518345 0.16320266 0.2245308  0.17231451 0.18619227]
1280,[94.12631351 28.05073374 45.20529295 12.55880451  5.38185092  6.15045611],[9.39419048 2.78098616 4.50061201 1.23109026 0.51722049 0.59410316],[0.18440943 0.24087203 0.19917308 0.24790196 0.20964599 0.20942449]
1281,[95.93206039 25.62309789 43.24394335 11.79608334  9.00628294  7.2241368 ],[9.5756985  2.53609429 4.30461823 1.15476359 0.8798829  0.69983562],[0.17507504 0.26215516 0.19776067 0.24844744 0.2074537  0.2257806 ]
1282,[94.46698402 28.22130051 42.35716574 12.71168915  6.30046354  6.34756566],[9.4259772  2.79169681 4.21080023 1.23992672 0.60427856 0.60755007],[0.20721203 0.30433245 0.24916373 0.31242196 0.25767791 0.27206489]
1283,[92.67591011 27.58275797 43.5389886  10.80095893  6.03434517  6.61509861],[9.24767292 2.73143502 4.33214236 1.05301545 0.58082937 0.63778774],[0.19918    0.26840797 0.21756493 0.27080435 0.22605144 0.23722126]
1284,[94.03741806 28.1385731  42.30647052  8.528003    4.88830392  5.42268387],[9.38494259 2.78872285 4.21060574 0.82897156 0.46760174 0.51993021],[0.18799239 0.25134475 0.20041282 0.23828733 0.21228647 0.22338174]
1285,[96.46249584 24.00517606 30.24754309 10.29234064  4.53292664  3.4148244 ],[9.62834807 2.37847728 3.00609835 1.00746049 0.43449988 0.32177086],[0.17901548 0.22040332 0.18655934 0.21773584 0.1879279  0.1971158 ]
1286,[94.61788193 27.69860494 40.19189949  9.61240204  4.54898909  4.19955053],[9.44408697 2.7446728  3.99915363 0.93604669 0.43326843 0.39796304],[0.17701193 0.25187693 0.20036333 0.25193515 0.21630476 0.21992007]
1287,[95.17609016 26.43000592 35.68077877  9.74648053  4.08182217  3.71832603],[9.50084003 2.62000449 3.5510132  0.95224743 0.38990351 0.35260259],[0.16768959 0.22996104 0.1706467  0.22400618 0.1827871  0.19230014]
1288,[93.42940952 29.83277002 43.05417954  9.91165154  5.47226937  4.91269068],[9.32612086 2.95792865 4.285855   0.96642353 0.52670674 0.4691506 ],[0.16820135 0.2534834  0.19562947 0.24741634 0.2052019  0.22118465]
1289,[93.24610096 30.28548077 46.59435698 10.87911161  4.68342526  4.9507822 ],[9.30574023 3.00351312 4.63960974 1.06352743 0.44762793 0.47257136],[0.18869843 0.25034946 0.19825925 0.24383738 0.20714598 0.2250687 ]
1290,[92.24334545 27.17014881 35.51705164  8.38460578  4.58847952  3.5420076 ],[9.21125502 2.69866466 3.53778407 0.82217771 0.44468334 0.33903   ],[0.13079529 0.18350218 0.13921095 0.16282862 0.1416462  0.15170767]
1291,[95.01714218 24.49553615 29.29553968  8.86881581  4.55245728  4.00392654],[9.48617953 2.42717354 2.91197565 0.86549563 0.43665807 0.3805257 ],[0.15534723 0.22380058 0.17578325 0.21385953 0.18587659 0.19866954]
1292,[92.85302525 29.9127001  40.86144076  7.91164162  3.90325933  5.27006336],[9.26742523 2.96798831 4.06636396 0.76934372 0.37115749 0.50650499],[0.17877334 0.23281726 0.19780106 0.2182044  0.19168448 0.20501351]
1293,[92.76951683 28.81834388 38.85372283  7.87677263  4.14916788  3.41191457],[9.25963939 2.85978009 3.86770293 0.76757796 0.39672135 0.32200874],[0.17312294 0.22054291 0.17669379 0.200993   0.18195438 0.19182717]
1294,[93.99933437 26.92798015 35.99373652  7.84396269  4.28126601  4.11602678],[9.38299847 2.6696452  3.58122202 0.76316366 0.40921273 0.39207587],[0.16934955 0.23152841 0.18151632 0.21232601 0.18913867 0.1952681 ]
1295,[94.40135414 27.28131289 35.93643042  9.71220652  5.63123628  5.29854231],[9.42469613 2.70524938 3.57557395 0.94883796 0.54408586 0.5089269 ],[0.1543926  0.22881898 0.18069095 0.22382716 0.19037761 0.20927325]
1296,[92.07680138 29.07229184 38.5388018   8.31883156  3.51537893  3.28503703],[9.19160238 2.88766967 3.83856664 0.81376636 0.33566702 0.31215435],[0.16077741 0.19559511 0.15313561 0.18116801 0.15870873 0.16349355]
1297,[94.64787682 25.08177492 35.8474083   9.40840042  5.24985009  4.17760856],[9.45086902 2.4867196  3.56913073 0.9202993  0.50774954 0.39942803],[0.13918637 0.21457905 0.1561015  0.20540734 0.17235465 0.18332832]
1298,[94.25212147 27.38611167 35.70949222  8.54086492  4.30563314  5.15973102],[9.41162802 2.71904419 3.55665315 0.83628647 0.41511327 0.49905605],[0.1358417  0.19566998 0.1429612  0.17800017 0.15450049 0.16917049]
1299,[96.44525574 26.12716313 36.0305434   9.11235011  4.17356239  3.36542617],[9.62360902 2.58435102 3.58083151 0.88434288 0.39394041 0.31166517],[0.20916546 0.28365314 0.22222818 0.26892123 0.23415831 0.24877444]
1300,[98.09862602 24.57759721 30.27549886  9.8583058   4.96003746  3.70870702],[9.78831999 2.4305745  3.00547224 0.95884949 0.47333973 0.3463196 ],[0.21542561 0.27185224 0.22077619 0.26981088 0.22664017 0.245511  ]
1301,[92.52495785 31.8428036  45.73262761  9.35133038  7.77534693  8.08754759],[9.23493212 3.15809122 4.55196768 0.9105537  0.75632311 0.78520746],[0.17563686 0.26189155 0.21295086 0.2457933  0.21211575 0.23547302]
1302,[91.78806976 33.47022946 48.37169387  8.79506082  4.84409991  6.77876483],[9.16142132 3.32346352 4.8173971  0.85694671 0.46452505 0.65670028],[0.17385619 0.23559448 0.19772249 0.22559381 0.19884936 0.21176216]
1303,[93.52602131 28.64510082 34.44650832  8.77381685  3.64177761  2.95098432],[9.338266   2.84471509 3.42962297 0.85957546 0.34806119 0.27847728],[0.14336157 0.19795034 0.1502782  0.17806217 0.16116572 0.16621159]
1304,[92.79637608 29.71179796 40.06742879  7.8462504   3.39492831  3.0213947 ],[9.26440258 2.95189401 3.99156313 0.76699061 0.32362349 0.2858254 ],[0.15235054 0.19285806 0.15179747 0.17634431 0.15869343 0.16314065]
1305,[88.19569912 36.42835188 52.94698135 11.07662614  5.51627095  4.55500923],[8.80197176 3.61894472 5.27718804 1.08510278 0.53316634 0.43580705],[0.17598116 0.23890488 0.17510094 0.22559828 0.1846076  0.19693871]
1306,[90.18026062 32.8963562  45.8634175   9.11072063  6.08795571  4.8251756 ],[9.00230157 3.27067379 4.57115243 0.89399857 0.59361813 0.46675032],[0.15724459 0.18961827 0.15189283 0.1707349  0.15177438 0.15767247]
1307,[90.02168716 32.71116511 45.30615452  9.11056805  4.37837106  4.11040916],[8.98699715 3.25014769 4.51457175 0.89155724 0.42065775 0.39302314],[0.15171559 0.20968834 0.16043699 0.19499558 0.17179352 0.18017774]
1308,[88.653256   36.10469959 48.22727339  8.83669791  4.17827751  3.47526912],[8.8528954  3.59305461 4.81008036 0.86861402 0.40444683 0.33346282],[0.12430242 0.17415361 0.12646976 0.15055763 0.13380924 0.14064091]
1309,[96.20212582 28.16008921 41.90202869  8.09800728  5.31606211  5.05625446],[9.59971937 2.79044671 4.16972132 0.7864203  0.51020378 0.48311654],[0.20493157 0.25562204 0.20481551 0.23380434 0.21402434 0.22508901]
1310,[93.27043674 28.91848667 38.06675274 10.48007529  5.61517299  4.62361695],[9.31142235 2.87016361 3.79081994 1.02692336 0.54426895 0.4442585 ],[0.15621298 0.21685045 0.15855285 0.2108417  0.1724835  0.18103191]
1311,[96.43072319 26.56573184 37.7217361   9.34247009  4.45524345  3.50182153],[9.62670839 2.63431465 3.75533063 0.9131916  0.42694461 0.33089094],[0.16363923 0.22258534 0.16842971 0.21055407 0.18579735 0.19291211]
1312,[95.834804   28.38175463 43.96674097 10.69368597  5.36049049  5.30166881],[9.56586919 2.81099515 4.37663341 1.04269679 0.51413008 0.50659866],[0.17611286 0.27180323 0.20040682 0.26671807 0.21918966 0.23568221]
1313,[92.75935848 32.11863775 45.73029311  9.6082217   5.26395024  7.43302174],[9.25990393 3.19047029 4.55725374 0.94110452 0.5100078  0.72553819],[0.16031937 0.2139347  0.15775594 0.19717645 0.16387217 0.1776397 ]
