,inner_loss,inner_loss_i,inner_loss_b,inner_loss_f,inner_loss_pre_adapt,inner_loss_i_pre_adapt,inner_loss_b_pre_adapt,inner_loss_f_pre_adapt
0,[0.10175211 0.14944016 0.05647129 0.03486361 0.02178932 0.01608696],[0.00063782 0.08581818 0.03849617 0.02527976 0.01704065 0.01231844],[0.00036012 0.01329657 0.00312759 0.00501981 0.00291322 0.00239093],[0.10075416 0.05032541 0.01484752 0.00456404 0.00183545 0.00137759],[0.10175211 0.14944016 0.05647129 0.03486361 0.02178932 0.01608696],[0.00063782 0.08581818 0.03849617 0.02527976 0.01704065 0.01231844],[0.00036012 0.01329657 0.00312759 0.00501981 0.00291322 0.00239093],[0.10075416 0.05032541 0.01484752 0.00456404 0.00183545 0.00137759]
1,[3.98670111 4.15565714 3.25527257 0.44418374 0.01863025 0.00886103],"[9.64441198e-04 1.98798991e+00 1.71129868e+00 2.20568645e-01
 8.50045909e-03 3.30026297e-03]","[3.29647414e-04 2.15668037e+00 1.53911567e+00 2.20833708e-01
 7.93334498e-03 3.92818819e-03]","[3.98540698e+00 1.09866099e-02 4.85813531e-03 2.78137527e-03
 2.19644696e-03 1.63257522e-03]",[3.98670111 4.15565714 3.25527257 0.44418374 0.01863025 0.00886103],"[9.64441198e-04 1.98798991e+00 1.71129868e+00 2.20568645e-01
 8.50045909e-03 3.30026297e-03]","[3.29647414e-04 2.15668037e+00 1.53911567e+00 2.20833708e-01
 7.93334498e-03 3.92818819e-03]","[3.98540698e+00 1.09866099e-02 4.85813531e-03 2.78137527e-03
 2.19644696e-03 1.63257522e-03]"
2,[0.01652763 0.01834518 0.00959776 0.01424954 0.00538195 0.00391121],[0.00114357 0.00204549 0.0010529  0.00134085 0.00233361 0.00154605],[0.00032429 0.00193307 0.00051299 0.00074543 0.00171915 0.00120601],[0.01505978 0.01436662 0.00803188 0.01216326 0.00132919 0.00115915],[0.01652763 0.01834518 0.00959776 0.01424954 0.00538195 0.00391121],[0.00114357 0.00204549 0.0010529  0.00134085 0.00233361 0.00154605],[0.00032429 0.00193307 0.00051299 0.00074543 0.00171915 0.00120601],[0.01505978 0.01436662 0.00803188 0.01216326 0.00132919 0.00115915]
3,"[7.99872608e+01 2.60411574e+02 7.58335373e+02 1.99471197e+01
 4.52866210e-01 4.82200195e-02]","[1.41056341e-03 1.31851631e+02 3.76092386e+02 1.00382717e+01
 2.17901151e-01 3.08155979e-02]","[3.61269969e-04 1.28481345e+02 3.82121125e+02 9.86620178e+00
 2.29934872e-01 1.47035121e-02]","[7.99854890e+01 7.85978180e-02 1.21833659e-01 4.26457083e-02
 5.03017718e-03 2.70090942e-03]","[7.99872608e+01 2.60411574e+02 7.58335373e+02 1.99471197e+01
 4.52866210e-01 4.82200195e-02]","[1.41056341e-03 1.31851631e+02 3.76092386e+02 1.00382717e+01
 2.17901151e-01 3.08155979e-02]","[3.61269969e-04 1.28481345e+02 3.82121125e+02 9.86620178e+00
 2.29934872e-01 1.47035121e-02]","[7.99854890e+01 7.85978180e-02 1.21833659e-01 4.26457083e-02
 5.03017718e-03 2.70090942e-03]"
4,"[1.23961662e+01 2.37983438e+01 7.00009086e-01 8.71860551e-03
 6.11067914e-03 5.04192998e-03]","[1.73813917e-03 1.19987434e+01 3.29255924e-01 2.66342938e-03
 2.40585430e-03 1.37044160e-03]","[3.76767075e-04 1.17852975e+01 3.64300249e-01 3.74554575e-03
 1.59808057e-03 1.68393916e-03]","[1.23940510e+01 1.43016585e-02 6.45291265e-03 2.30963067e-03
 2.10674435e-03 1.98754916e-03]","[1.23961662e+01 2.37983438e+01 7.00009086e-01 8.71860551e-03
 6.11067914e-03 5.04192998e-03]","[1.73813917e-03 1.19987434e+01 3.29255924e-01 2.66342938e-03
 2.40585430e-03 1.37044160e-03]","[3.76767075e-04 1.17852975e+01 3.64300249e-01 3.74554575e-03
 1.59808057e-03 1.68393916e-03]","[1.23940510e+01 1.43016585e-02 6.45291265e-03 2.30963067e-03
 2.10674435e-03 1.98754916e-03]"
5,"[7.44244155e+01 1.45536369e+03 1.22543593e+02 2.95560290e+00
 1.97620228e-01 7.14532534e-02]","[1.95896410e-03 7.30124534e+02 6.07161612e+01 1.36093205e+00
 1.12367836e-01 3.53681838e-02]","[3.68924211e-04 7.25223399e+02 6.17356444e+01 1.59152427e+00
 8.34541330e-02 3.43642641e-02]","[7.44220875e+01 1.57591678e-02 9.17860926e-02 3.14659220e-03
 1.79826050e-03 1.72080399e-03]","[7.44244155e+01 1.45536369e+03 1.22543593e+02 2.95560290e+00
 1.97620228e-01 7.14532534e-02]","[1.95896410e-03 7.30124534e+02 6.07161612e+01 1.36093205e+00
 1.12367836e-01 3.53681838e-02]","[3.68924211e-04 7.25223399e+02 6.17356444e+01 1.59152427e+00
 8.34541330e-02 3.43642641e-02]","[7.44220875e+01 1.57591678e-02 9.17860926e-02 3.14659220e-03
 1.79826050e-03 1.72080399e-03]"
6,"[2.07533485e+00 1.42400767e+01 6.41806161e-02 1.69538981e-02
 1.51580799e-02 1.23842418e-02]","[2.77473922e-03 7.45171013e+00 5.08785065e-02 6.50433709e-03
 7.07095549e-03 5.21411551e-03]","[3.74826938e-04 6.77869227e+00 9.19241297e-03 6.85344457e-03
 4.72856270e-03 6.14334763e-03]","[2.07218524e+00 9.67435911e-03 4.10969766e-03 3.59611665e-03
 3.35856108e-03 1.02677815e-03]","[2.07533485e+00 1.42400767e+01 6.41806161e-02 1.69538981e-02
 1.51580799e-02 1.23842418e-02]","[2.77473922e-03 7.45171013e+00 5.08785065e-02 6.50433709e-03
 7.07095549e-03 5.21411551e-03]","[3.74826938e-04 6.77869227e+00 9.19241297e-03 6.85344457e-03
 4.72856270e-03 6.14334763e-03]","[2.07218524e+00 9.67435911e-03 4.10969766e-03 3.59611665e-03
 3.35856108e-03 1.02677815e-03]"
7,[ 6.75910434 10.03181871  9.49018009  3.81340294  2.71320056  1.30284733],"[2.89398382e-03 4.86897905e+00 6.12286242e+00 1.63722463e+00
 9.78760372e-01 1.82074935e-01]","[3.67942724e-04 5.14051129e+00 3.34302382e+00 2.16562217e+00
 1.73237748e+00 1.11949111e+00]","[6.75584234e+00 2.23279430e-02 2.42941098e-02 1.05560582e-02
 2.06267420e-03 1.28125831e-03]",[ 6.75910434 10.03181871  9.49018009  3.81340294  2.71320056  1.30284733],"[2.89398382e-03 4.86897905e+00 6.12286242e+00 1.63722463e+00
 9.78760372e-01 1.82074935e-01]","[3.67942724e-04 5.14051129e+00 3.34302382e+00 2.16562217e+00
 1.73237748e+00 1.11949111e+00]","[6.75584234e+00 2.23279430e-02 2.42941098e-02 1.05560582e-02
 2.06267420e-03 1.28125831e-03]"
8,"[2.58015448e+01 2.55970294e+02 2.19994764e-01 1.57239895e+00
 2.57366391e-01 1.25966151e-01]","[3.53146257e-03 1.26937927e+02 9.34833576e-02 8.31600474e-01
 1.40420643e-01 5.79674248e-02]","[3.54934599e-04 1.28963968e+02 8.70101000e-02 7.36490647e-01
 1.13483234e-01 6.69795494e-02]","[2.57976592e+01 6.83995008e-02 3.95013040e-02 4.30783713e-03
 3.46251555e-03 1.01918213e-03]","[2.58015448e+01 2.55970294e+02 2.19994764e-01 1.57239895e+00
 2.57366391e-01 1.25966151e-01]","[3.53146257e-03 1.26937927e+02 9.34833576e-02 8.31600474e-01
 1.40420643e-01 5.79674248e-02]","[3.54934599e-04 1.28963968e+02 8.70101000e-02 7.36490647e-01
 1.13483234e-01 6.69795494e-02]","[2.57976592e+01 6.83995008e-02 3.95013040e-02 4.30783713e-03
 3.46251555e-03 1.01918213e-03]"
9,"[2.46920703e+01 5.64211802e+01 3.31270931e+01 7.04807891e-01
 4.43414544e-02 2.41452312e-02]","[3.95178203e-03 2.86335757e+01 1.63185051e+01 3.31328195e-01
 2.13933212e-02 1.29263281e-02]","[3.54317155e-04 2.77428409e+01 1.67963326e+01 3.70453437e-01
 2.12160999e-02 9.53447556e-03]","[2.46877636e+01 4.47660755e-02 1.22554201e-02 3.02624214e-03
 1.73203324e-03 1.68442743e-03]","[2.46920703e+01 5.64211802e+01 3.31270931e+01 7.04807891e-01
 4.43414544e-02 2.41452312e-02]","[3.95178203e-03 2.86335757e+01 1.63185051e+01 3.31328195e-01
 2.13933212e-02 1.29263281e-02]","[3.54317155e-04 2.77428409e+01 1.67963326e+01 3.70453437e-01
 2.12160999e-02 9.53447556e-03]","[2.46877636e+01 4.47660755e-02 1.22554201e-02 3.02624214e-03
 1.73203324e-03 1.68442743e-03]"
10,"[8.62879368e+01 7.08414718e+03 2.75016179e+02 1.13224259e+03
 2.89793501e+01 7.48112636e-01]","[4.94530644e-03 3.53688474e+03 1.38267903e+02 5.64125391e+02
 1.41707358e+01 3.23044806e-01]","[3.90593707e-04 3.54725714e+03 1.36744933e+02 5.68115501e+02
 1.48075176e+01 4.24496196e-01]","[8.62825998e+01 5.33613351e-03 3.34251339e-03 1.73772324e-03
 1.09789575e-03 5.71634320e-04]","[8.62879368e+01 7.08414718e+03 2.75016179e+02 1.13224259e+03
 2.89793501e+01 7.48112636e-01]","[4.94530644e-03 3.53688474e+03 1.38267903e+02 5.64125391e+02
 1.41707358e+01 3.23044806e-01]","[3.90593707e-04 3.54725714e+03 1.36744933e+02 5.68115501e+02
 1.48075176e+01 4.24496196e-01]","[8.62825998e+01 5.33613351e-03 3.34251339e-03 1.73772324e-03
 1.09789575e-03 5.71634320e-04]"
11,"[1.70805851e+01 5.51857901e+01 6.01748127e+02 2.29626365e-01
 2.17918573e-02 1.19509483e-02]","[5.44642056e-03 2.74046635e+01 3.01403765e+02 9.87921918e-02
 9.52818446e-03 6.50401273e-03]","[3.82295677e-04 2.76720949e+01 3.00331555e+02 1.12650009e-01
 7.17408593e-03 2.97264281e-03]","[1.70747559e+01 1.09031735e-01 1.28066313e-02 1.81841544e-02
 5.08958715e-03 2.47429244e-03]","[1.70805851e+01 5.51857901e+01 6.01748127e+02 2.29626365e-01
 2.17918573e-02 1.19509483e-02]","[5.44642056e-03 2.74046635e+01 3.01403765e+02 9.87921918e-02
 9.52818446e-03 6.50401273e-03]","[3.82295677e-04 2.76720949e+01 3.00331555e+02 1.12650009e-01
 7.17408593e-03 2.97264281e-03]","[1.70747559e+01 1.09031735e-01 1.28066313e-02 1.81841544e-02
 5.08958715e-03 2.47429244e-03]"
12,[8.18841243 8.26233479 6.72700785 3.39963378 1.36825837 0.03605559],[0.00753707 2.42797901 3.61216568 1.57108149 0.76190991 0.0276593 ],"[4.04941715e-04 5.62768931e+00 3.11232322e+00 1.82717697e+00
 6.04725914e-01 7.34429885e-03]","[8.18047035e+00 2.06666916e-01 2.51914957e-03 1.37516208e-03
 1.62259188e-03 1.05198890e-03]",[8.18841243 8.26233479 6.72700785 3.39963378 1.36825837 0.03605559],[0.00753707 2.42797901 3.61216568 1.57108149 0.76190991 0.0276593 ],"[4.04941715e-04 5.62768931e+00 3.11232322e+00 1.82717697e+00
 6.04725914e-01 7.34429885e-03]","[8.18047035e+00 2.06666916e-01 2.51914957e-03 1.37516208e-03
 1.62259188e-03 1.05198890e-03]"
13,[ 6.71612706  0.4163513   7.21225493 82.87390103  2.60436295  0.09028693],"[7.38276022e-03 1.27534196e-01 4.58075709e+00 4.08961052e+01
 1.20775496e+00 2.92250157e-02]","[3.77713369e-04 2.16468245e-01 2.62446144e+00 4.19756743e+01
 1.39491925e+00 5.91813466e-02]","[6.70836681e+00 7.23488544e-02 7.03615351e-03 2.12402999e-03
 1.68866467e-03 1.88056606e-03]",[ 6.71612706  0.4163513   7.21225493 82.87390103  2.60436295  0.09028693],"[7.38276022e-03 1.27534196e-01 4.58075709e+00 4.08961052e+01
 1.20775496e+00 2.92250157e-02]","[3.77713369e-04 2.16468245e-01 2.62446144e+00 4.19756743e+01
 1.39491925e+00 5.91813466e-02]","[6.70836681e+00 7.23488544e-02 7.03615351e-03 2.12402999e-03
 1.68866467e-03 1.88056606e-03]"
14,"[7.41653717e+01 4.21246488e+03 3.77126052e+02 1.05210279e+01
 2.68723418e-01 3.24474200e-02]","[8.36379571e-03 2.10607372e+03 1.88795163e+02 5.26622180e+00
 1.40005875e-01 1.64593938e-02]","[4.09817309e-04 2.10634353e+03 1.88320631e+02 5.25047129e+00
 1.27461676e-01 1.51664368e-02]","[7.41565988e+01 4.74708162e-02 1.02758853e-02 4.33479234e-03
 1.25587705e-03 8.21589133e-04]","[7.41653717e+01 4.21246488e+03 3.77126052e+02 1.05210279e+01
 2.68723418e-01 3.24474200e-02]","[8.36379571e-03 2.10607372e+03 1.88795163e+02 5.26622180e+00
 1.40005875e-01 1.64593938e-02]","[4.09817309e-04 2.10634353e+03 1.88320631e+02 5.25047129e+00
 1.27461676e-01 1.51664368e-02]","[7.41565988e+01 4.74708162e-02 1.02758853e-02 4.33479234e-03
 1.25587705e-03 8.21589133e-04]"
15,[0.03115903 0.03064956 0.03902532 0.00685258 0.00464815 0.00371464],[0.00891467 0.0068202  0.00995407 0.00420992 0.00255337 0.00183858],[0.00044464 0.00122709 0.00330015 0.00100817 0.0007361  0.00064855],[0.02179972 0.02260227 0.0257711  0.0016345  0.00135869 0.00122751],[0.03115903 0.03064956 0.03902532 0.00685258 0.00464815 0.00371464],[0.00891467 0.0068202  0.00995407 0.00420992 0.00255337 0.00183858],[0.00044464 0.00122709 0.00330015 0.00100817 0.0007361  0.00064855],[0.02179972 0.02260227 0.0257711  0.0016345  0.00135869 0.00122751]
16,[ 9.92063822 10.18568096 70.98094057  2.56213783  0.50652193  0.78385361],"[8.65398493e-03 5.20051333e+00 3.52013470e+01 1.33209711e+00
 2.31808450e-01 4.22229400e-01]","[4.46912128e-04 4.95451150e+00 3.57180154e+01 1.22524190e+00
 2.71384390e-01 3.59894690e-01]","[9.91153748e+00 3.06564345e-02 6.15757828e-02 4.79882006e-03
 3.32909068e-03 1.72953062e-03]",[ 9.92063822 10.18568096 70.98094057  2.56213783  0.50652193  0.78385361],"[8.65398493e-03 5.20051333e+00 3.52013470e+01 1.33209711e+00
 2.31808450e-01 4.22229400e-01]","[4.46912128e-04 4.95451150e+00 3.57180154e+01 1.22524190e+00
 2.71384390e-01 3.59894690e-01]","[9.91153748e+00 3.06564345e-02 6.15757828e-02 4.79882006e-03
 3.32909068e-03 1.72953062e-03]"
17,[0.15030089 0.12521408 0.04229146 0.0296279  0.01497816 0.0104382 ],[0.00978156 0.02918287 0.01699566 0.01007325 0.00716995 0.00512409],[0.00042929 0.01844631 0.00707314 0.00543766 0.0031941  0.00290327],[0.14009004 0.07758489 0.01822265 0.01411699 0.00461411 0.00241084],[0.15030089 0.12521408 0.04229146 0.0296279  0.01497816 0.0104382 ],[0.00978156 0.02918287 0.01699566 0.01007325 0.00716995 0.00512409],[0.00042929 0.01844631 0.00707314 0.00543766 0.0031941  0.00290327],[0.14009004 0.07758489 0.01822265 0.01411699 0.00461411 0.00241084]
18,[0.11394026 0.31791248 0.14836313 0.08348214 0.04987106 0.03065699],[0.01025228 0.19851809 0.09452186 0.05810301 0.03625011 0.02303514],[0.0004315  0.10782759 0.04425843 0.02237355 0.01128342 0.00594156],[0.10325649 0.01156681 0.00958285 0.00300558 0.00233753 0.00168029],[0.11394026 0.31791248 0.14836313 0.08348214 0.04987106 0.03065699],[0.01025228 0.19851809 0.09452186 0.05810301 0.03625011 0.02303514],[0.0004315  0.10782759 0.04425843 0.02237355 0.01128342 0.00594156],[0.10325649 0.01156681 0.00958285 0.00300558 0.00233753 0.00168029]
19,[ 2.75732127  0.06181058 11.86708491  0.05907015  1.44970515  0.0410071 ],[0.00976457 0.01607837 6.15468094 0.02879077 0.64521446 0.00874288],"[4.58673856e-04 3.56280394e-02 5.69332689e+00 5.32110826e-03
 8.03773284e-01 3.17932684e-02]","[2.74709799e+00 1.01041722e-02 1.90776914e-02 2.49582661e-02
 7.17485051e-04 4.70954839e-04]",[ 2.75732127  0.06181058 11.86708491  0.05907015  1.44970515  0.0410071 ],[0.00976457 0.01607837 6.15468094 0.02879077 0.64521446 0.00874288],"[4.58673856e-04 3.56280394e-02 5.69332689e+00 5.32110826e-03
 8.03773284e-01 3.17932684e-02]","[2.74709799e+00 1.01041722e-02 1.90776914e-02 2.49582661e-02
 7.17485051e-04 4.70954839e-04]"
20,[0.26014767 0.27866764 0.05404819 0.01070685 0.00452486 0.00322451],[0.01051131 0.13637523 0.01809627 0.00394335 0.00248903 0.0017728 ],[0.00052248 0.13047801 0.01262149 0.00256911 0.00079824 0.00065914],[0.24911387 0.0118144  0.02333043 0.00419439 0.00123759 0.00079257],[0.26014767 0.27866764 0.05404819 0.01070685 0.00452486 0.00322451],[0.01051131 0.13637523 0.01809627 0.00394335 0.00248903 0.0017728 ],[0.00052248 0.13047801 0.01262149 0.00256911 0.00079824 0.00065914],[0.24911387 0.0118144  0.02333043 0.00419439 0.00123759 0.00079257]
21,[0.40911896 0.30699104 0.21145611 0.07950511 0.0279963  0.01490866],[0.00877397 0.18177606 0.03967647 0.04374775 0.01580949 0.00789508],[0.00063112 0.10514291 0.02433749 0.03036758 0.00955017 0.00499926],[0.39971388 0.02007207 0.14744215 0.00538977 0.00263664 0.00201433],[0.40911896 0.30699104 0.21145611 0.07950511 0.0279963  0.01490866],[0.00877397 0.18177606 0.03967647 0.04374775 0.01580949 0.00789508],[0.00063112 0.10514291 0.02433749 0.03036758 0.00955017 0.00499926],[0.39971388 0.02007207 0.14744215 0.00538977 0.00263664 0.00201433]
22,"[7.75940675e+01 2.34453453e+03 7.47312578e+01 1.96248106e+00
 5.73088046e-02 9.45232697e-03]","[1.58391336e-02 1.17267389e+03 3.79232394e+01 1.07168398e+00
 4.35394584e-02 7.31112146e-03]","[6.42648007e-04 1.17185265e+03 3.68028563e+01 8.88236842e-01
 1.27080176e-02 1.43354138e-03]","[7.75775858e+01 7.98841783e-03 5.15969873e-03 2.56022923e-03
 1.06133100e-03 7.07664348e-04]","[7.75940675e+01 2.34453453e+03 7.47312578e+01 1.96248106e+00
 5.73088046e-02 9.45232697e-03]","[1.58391336e-02 1.17267389e+03 3.79232394e+01 1.07168398e+00
 4.35394584e-02 7.31112146e-03]","[6.42648007e-04 1.17185265e+03 3.68028563e+01 8.88236842e-01
 1.27080176e-02 1.43354138e-03]","[7.75775858e+01 7.98841783e-03 5.15969873e-03 2.56022923e-03
 1.06133100e-03 7.07664348e-04]"
23,[1.97100952 2.19367745 0.89595407 0.1364521  0.04980467 0.03147382],[0.01381043 1.15503381 0.41907237 0.10169225 0.04275379 0.02608693],"[7.69625714e-04 9.98430045e-01 4.71950720e-01 3.16504571e-02
 5.15379996e-03 4.02224338e-03]","[1.95642950e+00 4.02136421e-02 4.93102363e-03 3.10938793e-03
 1.89708159e-03 1.36464611e-03]",[1.97100952 2.19367745 0.89595407 0.1364521  0.04980467 0.03147382],[0.01381043 1.15503381 0.41907237 0.10169225 0.04275379 0.02608693],"[7.69625714e-04 9.98430045e-01 4.71950720e-01 3.16504571e-02
 5.15379996e-03 4.02224338e-03]","[1.95642950e+00 4.02136421e-02 4.93102363e-03 3.10938793e-03
 1.89708159e-03 1.36464611e-03]"
24,"[1.70487962e+01 1.64330396e+02 2.04535431e-01 1.51483312e-01
 2.52376310e-01 1.57140147e-02]","[1.45107671e-02 8.28633319e+01 1.14418615e-01 8.48539813e-02
 1.16939617e-01 6.11826374e-03]","[8.10397920e-04 8.14574775e+01 8.16584626e-02 6.06194055e-02
 1.33228789e-01 7.98886148e-03]","[1.70334745e+01 9.58214705e-03 8.45835556e-03 6.00992522e-03
 2.20791339e-03 1.60688968e-03]","[1.70487962e+01 1.64330396e+02 2.04535431e-01 1.51483312e-01
 2.52376310e-01 1.57140147e-02]","[1.45107671e-02 8.28633319e+01 1.14418615e-01 8.48539813e-02
 1.16939617e-01 6.11826374e-03]","[8.10397920e-04 8.14574775e+01 8.16584626e-02 6.06194055e-02
 1.33228789e-01 7.98886148e-03]","[1.70334745e+01 9.58214705e-03 8.45835556e-03 6.00992522e-03
 2.20791339e-03 1.60688968e-03]"
25,"[6.08742632e+00 1.40102979e+01 3.70628821e+01 1.46725377e+00
 5.52261236e-02 1.72134714e-02]","[1.49372083e-02 7.20925298e+00 1.81291790e+01 6.52899535e-01
 1.37609044e-02 5.65387309e-03]","[9.16434481e-04 6.74560752e+00 1.89282724e+01 8.11408179e-01
 3.96985370e-02 1.03609121e-02]","[6.07157282e+00 5.54380054e-02 5.43068670e-03 2.94598043e-03
 1.76668150e-03 1.19868611e-03]","[6.08742632e+00 1.40102979e+01 3.70628821e+01 1.46725377e+00
 5.52261236e-02 1.72134714e-02]","[1.49372083e-02 7.20925298e+00 1.81291790e+01 6.52899535e-01
 1.37609044e-02 5.65387309e-03]","[9.16434481e-04 6.74560752e+00 1.89282724e+01 8.11408179e-01
 3.96985370e-02 1.03609121e-02]","[6.07157282e+00 5.54380054e-02 5.43068670e-03 2.94598043e-03
 1.76668150e-03 1.19868611e-03]"
26,"[2.34763496e+01 8.99203361e+01 1.95672610e+02 5.01500496e+00
 1.12579522e-01 2.76481629e-01]","[1.65873032e-02 4.42736827e+01 9.86965747e+01 2.65765213e+00
 7.72324822e-02 1.29614151e-01]","[9.51638573e-04 4.56141406e+01 9.69658983e+01 2.35395014e+00
 3.37572485e-02 1.45709027e-01]","[2.34588110e+01 3.25131012e-02 1.01325922e-02 3.40284478e-03
 1.58979297e-03 1.15845080e-03]","[2.34763496e+01 8.99203361e+01 1.95672610e+02 5.01500496e+00
 1.12579522e-01 2.76481629e-01]","[1.65873032e-02 4.42736827e+01 9.86965747e+01 2.65765213e+00
 7.72324822e-02 1.29614151e-01]","[9.51638573e-04 4.56141406e+01 9.69658983e+01 2.35395014e+00
 3.37572485e-02 1.45709027e-01]","[2.34588110e+01 3.25131012e-02 1.01325922e-02 3.40284478e-03
 1.58979297e-03 1.15845080e-03]"
27,"[3.74666768e+01 7.75014319e+02 4.19794754e+01 6.87698421e+00
 3.96933724e-02 9.29184435e-03]","[1.47067174e-02 3.86326697e+02 2.12008256e+01 3.45132693e+00
 2.42094984e-02 5.57194113e-03]","[1.11982379e-03 3.88676562e+02 2.07763186e+01 3.42446276e+00
 1.47077060e-02 3.20926129e-03]","[3.74508509e+01 1.11003233e-02 2.33119206e-03 1.19450604e-03
 7.76168240e-04 5.10642220e-04]","[3.74666768e+01 7.75014319e+02 4.19794754e+01 6.87698421e+00
 3.96933724e-02 9.29184435e-03]","[1.47067174e-02 3.86326697e+02 2.12008256e+01 3.45132693e+00
 2.42094984e-02 5.57194113e-03]","[1.11982379e-03 3.88676562e+02 2.07763186e+01 3.42446276e+00
 1.47077060e-02 3.20926129e-03]","[3.74508509e+01 1.11003233e-02 2.33119206e-03 1.19450604e-03
 7.76168240e-04 5.10642220e-04]"
28,[3.08394461 0.87441534 6.43058217 0.17151463 0.02982054 0.02970559],[0.01442576 0.39389987 3.37024305 0.04813982 0.01564381 0.01335672],"[1.17733158e-03 4.48649498e-01 3.00469469e+00 8.73580569e-02
 9.78961412e-03 6.68940009e-03]",[3.06834142 0.03186598 0.05564413 0.03601675 0.00438712 0.00965947],[3.08394461 0.87441534 6.43058217 0.17151463 0.02982054 0.02970559],[0.01442576 0.39389987 3.37024305 0.04813982 0.01564381 0.01335672],"[1.17733158e-03 4.48649498e-01 3.00469469e+00 8.73580569e-02
 9.78961412e-03 6.68940009e-03]",[3.06834142 0.03186598 0.05564413 0.03601675 0.00438712 0.00965947]
29,[0.60283943 1.5561915  0.1038846  0.01971603 0.00887322 0.00625442],[0.01404846 0.7884654  0.04574475 0.00890033 0.00472366 0.00360471],[0.00139801 0.73223766 0.04951217 0.00825876 0.0026042  0.00160577],[0.58739295 0.0354884  0.00862767 0.00255695 0.00154536 0.00104395],[0.60283943 1.5561915  0.1038846  0.01971603 0.00887322 0.00625442],[0.01404846 0.7884654  0.04574475 0.00890033 0.00472366 0.00360471],[0.00139801 0.73223766 0.04951217 0.00825876 0.0026042  0.00160577],[0.58739295 0.0354884  0.00862767 0.00255695 0.00154536 0.00104395]
30,"[1.39341474e+01 6.38417308e+01 5.87095959e+01 1.52746652e+00
 5.56796482e-02 1.39649130e-02]","[1.69254996e-02 3.20343040e+01 2.92160956e+01 7.46434271e-01
 2.71143587e-02 7.92627333e-03]","[1.78290217e-03 3.17800538e+01 2.94750171e+01 7.78196795e-01
 2.67424716e-02 4.58951388e-03]","[1.39154394e+01 2.73698751e-02 1.84838441e-02 2.83540162e-03
 1.82281668e-03 1.44912584e-03]","[1.39341474e+01 6.38417308e+01 5.87095959e+01 1.52746652e+00
 5.56796482e-02 1.39649130e-02]","[1.69254996e-02 3.20343040e+01 2.92160956e+01 7.46434271e-01
 2.71143587e-02 7.92627333e-03]","[1.78290217e-03 3.17800538e+01 2.94750171e+01 7.78196795e-01
 2.67424716e-02 4.58951388e-03]","[1.39154394e+01 2.73698751e-02 1.84838441e-02 2.83540162e-03
 1.82281668e-03 1.44912584e-03]"
31,[5.50131779 5.96881269 0.81323409 0.03430792 0.01010785 0.00692629],[0.01788276 2.94260376 0.41076461 0.01819282 0.00555002 0.00372539],"[2.15385775e-03 2.95702405e+00 3.98186699e-01 1.43197605e-02
 3.51901473e-03 2.55577698e-03]","[5.48128090e+00 6.91848727e-02 4.28277303e-03 1.79533671e-03
 1.03881506e-03 6.45129431e-04]",[5.50131779 5.96881269 0.81323409 0.03430792 0.01010785 0.00692629],[0.01788276 2.94260376 0.41076461 0.01819282 0.00555002 0.00372539],"[2.15385775e-03 2.95702405e+00 3.98186699e-01 1.43197605e-02
 3.51901473e-03 2.55577698e-03]","[5.48128090e+00 6.91848727e-02 4.28277303e-03 1.79533671e-03
 1.03881506e-03 6.45129431e-04]"
32,[1.08019178 0.16377051 0.12270123 0.17092329 0.16051855 0.03161977],[0.01555008 0.03640451 0.09169255 0.06704725 0.10448453 0.01411693],[0.00254166 0.03760235 0.02330115 0.10057624 0.05391728 0.01592271],[1.06210006 0.08976365 0.00770753 0.0032998  0.00211674 0.00158013],[1.08019178 0.16377051 0.12270123 0.17092329 0.16051855 0.03161977],[0.01555008 0.03640451 0.09169255 0.06704725 0.10448453 0.01411693],[0.00254166 0.03760235 0.02330115 0.10057624 0.05391728 0.01592271],[1.06210006 0.08976365 0.00770753 0.0032998  0.00211674 0.00158013]
33,"[1.04679078e+01 6.26979847e+00 8.38537980e+01 3.95867944e+00
 1.24173741e-01 1.97561483e-02]","[1.89922413e-02 2.93594859e+00 4.25248311e+01 2.11490874e+00
 7.99875196e-02 1.34640267e-02]","[2.98492515e-03 3.25130855e+00 4.13208717e+01 1.82857785e+00
 4.03103389e-02 4.54151275e-03]","[1.04459306e+01 8.25414584e-02 8.09036459e-03 1.51928512e-02
 3.87588807e-03 1.75060890e-03]","[1.04679078e+01 6.26979847e+00 8.38537980e+01 3.95867944e+00
 1.24173741e-01 1.97561483e-02]","[1.89922413e-02 2.93594859e+00 4.25248311e+01 2.11490874e+00
 7.99875196e-02 1.34640267e-02]","[2.98492515e-03 3.25130855e+00 4.13208717e+01 1.82857785e+00
 4.03103389e-02 4.54151275e-03]","[1.04459306e+01 8.25414584e-02 8.09036459e-03 1.51928512e-02
 3.87588807e-03 1.75060890e-03]"
