,inner_loss,inner_loss_i,inner_loss_b,inner_loss_f,inner_loss_pre_adapt,inner_loss_i_pre_adapt,inner_loss_b_pre_adapt,inner_loss_f_pre_adapt
2055,[0.15209913 0.10100736 0.08055733 0.06110362 0.05026379 0.03959879],[0.08590022 0.07287882 0.05389283 0.04114127 0.03203787 0.02511525],[0.00645549 0.00846079 0.00674359 0.00672807 0.00618487 0.005801  ],[0.05974342 0.01966775 0.01992091 0.01323428 0.01204105 0.00868254],[0.15209913 0.10100736 0.08055733 0.06110362 0.05026379 0.03959879],[0.08590022 0.07287882 0.05389283 0.04114127 0.03203787 0.02511525],[0.00645549 0.00846079 0.00674359 0.00672807 0.00618487 0.005801  ],[0.05974342 0.01966775 0.01992091 0.01323428 0.01204105 0.00868254]
2056,[0.16264049 0.10383099 0.09121743 0.07017265 0.06909648 0.04045809],[0.09507263 0.07202505 0.0549766  0.04248118 0.03338152 0.02593083],[0.00631761 0.00678346 0.00706831 0.00687334 0.00681198 0.00635344],[0.06125026 0.02502248 0.02917252 0.02081813 0.02890298 0.00817383],[0.16264049 0.10383099 0.09121743 0.07017265 0.06909648 0.04045809],[0.09507263 0.07202505 0.0549766  0.04248118 0.03338152 0.02593083],[0.00631761 0.00678346 0.00706831 0.00687334 0.00681198 0.00635344],[0.06125026 0.02502248 0.02917252 0.02081813 0.02890298 0.00817383]
2057,[0.19697581 0.15433287 0.11708831 0.10942659 0.06855204 0.05720008],[0.09600407 0.08751606 0.06979784 0.05840301 0.04594119 0.03660059],[0.00607923 0.01089973 0.00946913 0.00951105 0.00834733 0.00810504],[0.09489252 0.05591708 0.03782134 0.04151252 0.01426351 0.01249444],[0.19697581 0.15433287 0.11708831 0.10942659 0.06855204 0.05720008],[0.09600407 0.08751606 0.06979784 0.05840301 0.04594119 0.03660059],[0.00607923 0.01089973 0.00946913 0.00951105 0.00834733 0.00810504],[0.09489252 0.05591708 0.03782134 0.04151252 0.01426351 0.01249444]
2058,[0.17377503 0.1669523  0.1598468  0.09052318 0.07445026 0.05783901],[0.10982771 0.08449166 0.07997703 0.0649641  0.04882635 0.03785228],[0.00574515 0.00690148 0.01362742 0.00920422 0.00750419 0.00664089],[0.05820217 0.07555917 0.06624235 0.01635486 0.01811971 0.01334584],[0.17377503 0.1669523  0.1598468  0.09052318 0.07445026 0.05783901],[0.10982771 0.08449166 0.07997703 0.0649641  0.04882635 0.03785228],[0.00574515 0.00690148 0.01362742 0.00920422 0.00750419 0.00664089],[0.05820217 0.07555917 0.06624235 0.01635486 0.01811971 0.01334584]
2059,[0.17884992 0.14960273 0.13683369 0.08941485 0.06878809 0.05529854],[0.09252963 0.08127691 0.08854164 0.06489798 0.04949053 0.03839364],[0.0061883  0.01050228 0.00964764 0.00929957 0.00748179 0.00680559],[0.08013199 0.05782354 0.03864442 0.0152173  0.01181577 0.01009931],[0.17884992 0.14960273 0.13683369 0.08941485 0.06878809 0.05529854],[0.09252963 0.08127691 0.08854164 0.06489798 0.04949053 0.03839364],[0.0061883  0.01050228 0.00964764 0.00929957 0.00748179 0.00680559],[0.08013199 0.05782354 0.03864442 0.0152173  0.01181577 0.01009931]
2060,[0.15473489 0.11290898 0.1138943  0.15553709 0.07681481 0.06353481],[0.09682986 0.07400352 0.07395373 0.05851293 0.04699029 0.03559545],[0.00540829 0.00644933 0.00737105 0.00715186 0.00997751 0.00906193],[0.05249674 0.03245613 0.03256951 0.0898723  0.01984701 0.01887743],[0.15473489 0.11290898 0.1138943  0.15553709 0.07681481 0.06353481],[0.09682986 0.07400352 0.07395373 0.05851293 0.04699029 0.03559545],[0.00540829 0.00644933 0.00737105 0.00715186 0.00997751 0.00906193],[0.05249674 0.03245613 0.03256951 0.0898723  0.01984701 0.01887743]
2061,[0.15814012 0.17211954 0.3378072  0.12270083 0.10055934 0.06510975],[0.10796862 0.08082552 0.07969171 0.09069226 0.05418525 0.04217392],[0.00578776 0.00544046 0.00998865 0.01341954 0.01038119 0.01068721],[0.04438375 0.08585357 0.24812685 0.01858903 0.03599291 0.01224863],[0.15814012 0.17211954 0.3378072  0.12270083 0.10055934 0.06510975],[0.10796862 0.08082552 0.07969171 0.09069226 0.05418525 0.04217392],[0.00578776 0.00544046 0.00998865 0.01341954 0.01038119 0.01068721],[0.04438375 0.08585357 0.24812685 0.01858903 0.03599291 0.01224863]
2062,[0.16995952 0.16627452 0.14242133 0.08709816 0.08616583 0.06561098],[0.0982863  0.07826729 0.07811001 0.05617708 0.04422471 0.03423195],[0.00572794 0.00689531 0.01404727 0.01192488 0.01116093 0.01070955],[0.06594527 0.08111192 0.05026405 0.0189962  0.03078019 0.02066947],[0.16995952 0.16627452 0.14242133 0.08709816 0.08616583 0.06561098],[0.0982863  0.07826729 0.07811001 0.05617708 0.04422471 0.03423195],[0.00572794 0.00689531 0.01404727 0.01192488 0.01116093 0.01070955],[0.06594527 0.08111192 0.05026405 0.0189962  0.03078019 0.02066947]
2063,[0.16838304 0.11283581 0.11167635 0.07179764 0.05779487 0.04744097],[0.08870481 0.07170268 0.05500525 0.04805585 0.03739442 0.02920218],[0.00630786 0.0065007  0.00641276 0.00820093 0.00734157 0.00662473],[0.07337037 0.03463242 0.05025834 0.01554087 0.01305888 0.01161406],[0.16838304 0.11283581 0.11167635 0.07179764 0.05779487 0.04744097],[0.08870481 0.07170268 0.05500525 0.04805585 0.03739442 0.02920218],[0.00630786 0.0065007  0.00641276 0.00820093 0.00734157 0.00662473],[0.07337037 0.03463242 0.05025834 0.01554087 0.01305888 0.01161406]
2064,[0.14297036 0.09794243 0.07582109 0.06165397 0.05019849 0.04075565],[0.08557833 0.06694704 0.05046286 0.0391031  0.03061832 0.02420363],[0.00588967 0.00884274 0.00839324 0.00783451 0.00739066 0.00691043],[0.05150235 0.02215265 0.01696499 0.01471636 0.01218951 0.00964159],[0.14297036 0.09794243 0.07582109 0.06165397 0.05019849 0.04075565],[0.08557833 0.06694704 0.05046286 0.0391031  0.03061832 0.02420363],[0.00588967 0.00884274 0.00839324 0.00783451 0.00739066 0.00691043],[0.05150235 0.02215265 0.01696499 0.01471636 0.01218951 0.00964159]
