,loss_b,loss_f,loss
0,0.05716414377093315,1.580629395903088e-05,0.6423370838165283
1,0.00016732931544538587,5.248449269856792e-06,0.5177022218704224
2,0.027344632893800735,1.2812258319172543e-05,0.5509229302406311
3,0.015098374336957932,9.59184835664928e-05,0.5181590914726257
4,0.003311762586236,0.00023832246370147914,0.4887399971485138
5,0.007365756202489138,0.00047741978778503835,0.47988423705101013
6,0.02149171382188797,0.0011124579468742013,0.4661972224712372
7,0.047391410917043686,0.0029794471338391304,0.43867725133895874
8,0.09779999405145645,0.007738091051578522,0.419506698846817
9,0.14736345410346985,0.012253163382411003,0.42640435695648193
10,0.1387631595134735,0.009778442792594433,0.41849204897880554
11,0.09998691827058792,0.005407070275396109,0.3981383144855499
12,0.06543760746717453,0.0026555024087429047,0.38697338104248047
13,0.047222163528203964,0.0014801350189372897,0.3839762210845947
14,0.044636256992816925,0.0011311080306768417,0.37726518511772156
15,0.055252499878406525,0.0012222364312037826,0.36300820112228394
16,0.07826334983110428,0.0016925192903727293,0.34668803215026855
17,0.10956405103206635,0.0024357291404157877,0.33514827489852905
18,0.13447868824005127,0.0026632363442331553,0.3271782696247101
19,0.1349322646856308,0.0016763446619734168,0.3150596618652344
20,0.110860675573349,0.0014746873639523983,0.3028389811515808
21,0.08145126700401306,0.0050713075324893,0.3030535876750946
22,0.07090889662504196,0.01175195723772049,0.3089190721511841
23,0.08774841576814651,0.01739860326051712,0.30670711398124695
24,0.1249077320098877,0.018893923610448837,0.30599698424339294
25,0.14801880717277527,0.018136754631996155,0.30626189708709717
26,0.12090398371219635,0.018579719588160515,0.2905921936035156
27,0.07349556684494019,0.021508123725652695,0.2799227237701416
28,0.06446417421102524,0.02038728818297386,0.269171804189682
29,0.10051260888576508,0.020358916372060776,0.2619825303554535
30,0.0837852954864502,0.02593047358095646,0.2541729807853699
31,0.031283751130104065,0.02994788996875286,0.2542150616645813
32,0.06625255197286606,0.034791573882102966,0.241098091006279
33,0.06818574666976929,0.03688223287463188,0.23568658530712128
34,0.015653282403945923,0.028976326808333397,0.23615066707134247
35,0.06586501747369766,0.037775032222270966,0.22246789932250977
36,0.0366254486143589,0.029717164114117622,0.205706387758255
37,0.012563776224851608,0.02436891943216324,0.20068949460983276
38,0.07388151437044144,0.045048244297504425,0.20643964409828186
39,0.0014742434723302722,0.02254660055041313,0.20359472930431366
40,0.04485207423567772,0.03713163733482361,0.16848918795585632
41,0.0240520928055048,0.034320443868637085,0.1535712480545044
42,0.0022879259195178747,0.03312163054943085,0.17700156569480896
43,0.09746948629617691,0.06530819088220596,0.2086702585220337
44,0.007399255409836769,0.033256616443395615,0.16804112493991852
45,0.01073335949331522,0.03648819774389267,0.14591342210769653
46,0.06599847972393036,0.04557369276881218,0.16753315925598145
47,0.013759204186499119,0.03344802185893059,0.13650177419185638
